From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Pathway	Function [CC]	Organism (ID)	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Organism
NP_788292.1	A1Z7T2	unreviewed	A1Z7T2_DROME	protein kinase C (EC 2.7.11.13)	Pkn 3-2 CG2055 CG8 CT6637 CT6660 Dmel\CG2049 DPKN Dpkn dPKN l(2)06736 l(2)45Ca Pk45C Pk?3 PKC-related PKN pkn PRK2 v(2)rG232 CG2049 Dmel_CG2049			7227	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]	signal transduction [GO:0007165]	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; small GTPase binding [GO:0031267]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; small GTPase binding [GO:0031267]	GO:0004697; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0030496; GO:0031267; GO:0032154; GO:0106310	Drosophila melanogaster (Fruit fly)
NP_001163095.1	E1JH15	unreviewed	E1JH15_DROME	protein kinase C (EC 2.7.11.13)	Pkn 3-2 CG2055 CG8 CT6637 CT6660 Dmel\CG2049 DPKN Dpkn dPKN l(2)06736 l(2)45Ca Pk45C Pk?3 PKC-related PKN pkn PRK2 v(2)rG232 CG2049 Dmel_CG2049			7227	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]	signal transduction [GO:0007165]	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; small GTPase binding [GO:0031267]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; small GTPase binding [GO:0031267]	GO:0004697; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0030496; GO:0031267; GO:0032154; GO:0106310	Drosophila melanogaster (Fruit fly)
NP_001246220.1	A1Z7T0	reviewed	PKN_DROME	Serine/threonine-protein kinase N (EC 2.7.11.13) (Protein kinase related to PKN)	Pkn Dpkn CG2049		FUNCTION: Pkc-related serine/threonine-protein kinase and Rho/Rac effector protein that participates in specific signal transduction responses in the cell. May play a role in the regulation of cell cycle progression, actin cytoskeleton assembly, cell migration, cell adhesion and transcription activation signaling processes (By similarity). Plays a role in regulating Rho-mediated dorsal closure during embryogenesis. {ECO:0000250, ECO:0000269|PubMed:10323867, ECO:0000269|PubMed:17507675}.	7227	anchoring junction [GO:0070161]; apical cortex [GO:0045179]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; lamellipodium [GO:0030027]; midbody [GO:0030496]; nucleus [GO:0005634]	actin cytoskeleton organization [GO:0030036]; cell adhesion [GO:0007155]; dorsal closure [GO:0007391]; intracellular signal transduction [GO:0035556]; mitotic cytokinesis, division site positioning [GO:1902408]; positive regulation of wound healing [GO:0090303]; protein autophosphorylation [GO:0046777]; wing disc morphogenesis [GO:0007472]	anchoring junction [GO:0070161]; apical cortex [GO:0045179]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; lamellipodium [GO:0030027]; midbody [GO:0030496]; nucleus [GO:0005634]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; small GTPase binding [GO:0031267]; actin cytoskeleton organization [GO:0030036]; cell adhesion [GO:0007155]; dorsal closure [GO:0007391]; intracellular signal transduction [GO:0035556]; mitotic cytokinesis, division site positioning [GO:1902408]; positive regulation of wound healing [GO:0090303]; protein autophosphorylation [GO:0046777]; wing disc morphogenesis [GO:0007472]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; small GTPase binding [GO:0031267]	GO:0004672; GO:0004674; GO:0004697; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005856; GO:0007155; GO:0007391; GO:0007472; GO:0030027; GO:0030036; GO:0030496; GO:0031267; GO:0032154; GO:0035556; GO:0045179; GO:0046777; GO:0070161; GO:0090303; GO:0106310; GO:1902408	Drosophila melanogaster (Fruit fly)
NP_001246220.1	A0A0B4K6U3	unreviewed	A0A0B4K6U3_DROME	protein kinase C (EC 2.7.11.13)	Pkn 3-2 CG2055 CG8 CT6637 CT6660 Dmel\CG2049 DPKN Dpkn dPKN l(2)06736 l(2)45Ca Pk45C Pk?3 PKC-related PKN pkn PRK2 v(2)rG232 CG2049 Dmel_CG2049			7227	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]	signal transduction [GO:0007165]	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; small GTPase binding [GO:0031267]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; small GTPase binding [GO:0031267]	GO:0004697; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0030496; GO:0031267; GO:0032154; GO:0106310	Drosophila melanogaster (Fruit fly)
NP_001188895.1	A0A0B4K727	unreviewed	A0A0B4K727_DROME	protein kinase C (EC 2.7.11.13)	Pkn 3-2 CG2055 CG8 CT6637 CT6660 Dmel\CG2049 DPKN Dpkn dPKN l(2)06736 l(2)45Ca Pk45C Pk?3 PKC-related PKN pkn PRK2 v(2)rG232 CG2049 Dmel_CG2049			7227	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]	signal transduction [GO:0007165]	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; small GTPase binding [GO:0031267]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; small GTPase binding [GO:0031267]	GO:0004697; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0030496; GO:0031267; GO:0032154	Drosophila melanogaster (Fruit fly)
NP_001246221.1	A0A0B4K727	unreviewed	A0A0B4K727_DROME	protein kinase C (EC 2.7.11.13)	Pkn 3-2 CG2055 CG8 CT6637 CT6660 Dmel\CG2049 DPKN Dpkn dPKN l(2)06736 l(2)45Ca Pk45C Pk?3 PKC-related PKN pkn PRK2 v(2)rG232 CG2049 Dmel_CG2049			7227	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]	signal transduction [GO:0007165]	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; small GTPase binding [GO:0031267]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; small GTPase binding [GO:0031267]	GO:0004697; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0030496; GO:0031267; GO:0032154	Drosophila melanogaster (Fruit fly)
NP_001188896.1	A0A0B4JD07	unreviewed	A0A0B4JD07_DROME	protein kinase C (EC 2.7.11.13)	Pkn 3-2 CG2055 CG8 CT6637 CT6660 Dmel\CG2049 DPKN Dpkn dPKN l(2)06736 l(2)45Ca Pk45C Pk?3 PKC-related PKN pkn PRK2 v(2)rG232 CG2049 Dmel_CG2049			7227	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]	signal transduction [GO:0007165]	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; small GTPase binding [GO:0031267]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; small GTPase binding [GO:0031267]	GO:0004697; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0030496; GO:0031267; GO:0032154	Drosophila melanogaster (Fruit fly)
NP_001188897.3	A0A0B4JD07	unreviewed	A0A0B4JD07_DROME	protein kinase C (EC 2.7.11.13)	Pkn 3-2 CG2055 CG8 CT6637 CT6660 Dmel\CG2049 DPKN Dpkn dPKN l(2)06736 l(2)45Ca Pk45C Pk?3 PKC-related PKN pkn PRK2 v(2)rG232 CG2049 Dmel_CG2049			7227	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]	signal transduction [GO:0007165]	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; small GTPase binding [GO:0031267]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; small GTPase binding [GO:0031267]	GO:0004697; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0030496; GO:0031267; GO:0032154	Drosophila melanogaster (Fruit fly)
NP_001286244.1	A0A0B4LF03	unreviewed	A0A0B4LF03_DROME	protein kinase C (EC 2.7.11.13)	Pkn 3-2 CG2055 CG8 CT6637 CT6660 Dmel\CG2049 DPKN Dpkn dPKN l(2)06736 l(2)45Ca Pk45C Pk?3 PKC-related PKN pkn PRK2 v(2)rG232 CG2049 Dmel_CG2049			7227	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]	signal transduction [GO:0007165]	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; small GTPase binding [GO:0031267]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; small GTPase binding [GO:0031267]	GO:0004697; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0030496; GO:0031267; GO:0032154; GO:0106310	Drosophila melanogaster (Fruit fly)
NP_001286243.1	A0A0B4LEI8	unreviewed	A0A0B4LEI8_DROME	protein kinase C (EC 2.7.11.13)	Pkn 3-2 CG2055 CG8 CT6637 CT6660 Dmel\CG2049 DPKN Dpkn dPKN l(2)06736 l(2)45Ca Pk45C Pk?3 PKC-related PKN pkn PRK2 v(2)rG232 CG2049 Dmel_CG2049			7227	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]	signal transduction [GO:0007165]	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleus [GO:0005634]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; small GTPase binding [GO:0031267]; signal transduction [GO:0007165]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; small GTPase binding [GO:0031267]	GO:0004697; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0030496; GO:0031267; GO:0032154; GO:0106310	Drosophila melanogaster (Fruit fly)
NP_001246377.1	D3DMK5	unreviewed	D3DMK5_DROME	protein kinase C (EC 2.7.11.13)	Pkc53E Dmel\CG6622 DPKC dPKC Dpkc1 dPKC53E(br) pck53E PK-C PKC PKC 53B PKC 53E PKC-53B PKC-53E PKC1 Pkc1 PKC53E PKC53e pkc53e Pkc53E-RC CG6622 Dmel_CG6622			7227			ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; zinc ion binding [GO:0008270]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; zinc ion binding [GO:0008270]	GO:0004697; GO:0005524; GO:0008270	Drosophila melanogaster (Fruit fly)
NP_001261035.1	P05130	reviewed	KPC1_DROME	Protein kinase C, brain isozyme (PKC) (EC 2.7.11.13) (dPKC53E(BR))	Pkc53E PKC1 CG6622		FUNCTION: PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins (By similarity). PKC also serves as the receptor for phorbol esters, a class of tumor promoters (By similarity). Acts in a hh-signaling pathway which regulates the Duox-dependent gut immune response to bacterial uracil; required for the activation of Cad99C and consequently Cad99C-dependent endosome formation, which is essential for the Duox-dependent production of reactive oxygen species (ROS) in response to intestinal bacterial infection (PubMed:25639794). {ECO:0000250|UniProtKB:P34885, ECO:0000269|PubMed:25639794}.	7227	plasma membrane [GO:0005886]	intracellular signal transduction [GO:0035556]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; regulation of hemocyte proliferation [GO:0035206]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium,diacylglycerol-dependent serine/threonine kinase activity [GO:0004698]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]; intracellular signal transduction [GO:0035556]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; regulation of hemocyte proliferation [GO:0035206]	ATP binding [GO:0005524]; calcium,diacylglycerol-dependent serine/threonine kinase activity [GO:0004698]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0004698; GO:0005524; GO:0005886; GO:0008270; GO:0035206; GO:0035556; GO:0106310; GO:2000370	Drosophila melanogaster (Fruit fly)
NP_001261035.1	A0A0B4KFT3	unreviewed	A0A0B4KFT3_DROME	Protein kinase C (EC 2.7.11.13)	Pkc53E Dmel\CG6622 DPKC dPKC Dpkc1 dPKC53E(br) pck53E PK-C PKC PKC 53B PKC 53E PKC-53B PKC-53E PKC1 Pkc1 PKC53E PKC53e pkc53E pkc53e CG6622 Dmel_CG6622			7227			ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; zinc ion binding [GO:0008270]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; zinc ion binding [GO:0008270]	GO:0004697; GO:0005524; GO:0008270; GO:0106310	Drosophila melanogaster (Fruit fly)
NP_476682.1	P05130	reviewed	KPC1_DROME	Protein kinase C, brain isozyme (PKC) (EC 2.7.11.13) (dPKC53E(BR))	Pkc53E PKC1 CG6622		FUNCTION: PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins (By similarity). PKC also serves as the receptor for phorbol esters, a class of tumor promoters (By similarity). Acts in a hh-signaling pathway which regulates the Duox-dependent gut immune response to bacterial uracil; required for the activation of Cad99C and consequently Cad99C-dependent endosome formation, which is essential for the Duox-dependent production of reactive oxygen species (ROS) in response to intestinal bacterial infection (PubMed:25639794). {ECO:0000250|UniProtKB:P34885, ECO:0000269|PubMed:25639794}.	7227	plasma membrane [GO:0005886]	intracellular signal transduction [GO:0035556]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; regulation of hemocyte proliferation [GO:0035206]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium,diacylglycerol-dependent serine/threonine kinase activity [GO:0004698]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]; intracellular signal transduction [GO:0035556]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; regulation of hemocyte proliferation [GO:0035206]	ATP binding [GO:0005524]; calcium,diacylglycerol-dependent serine/threonine kinase activity [GO:0004698]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0004698; GO:0005524; GO:0005886; GO:0008270; GO:0035206; GO:0035556; GO:0106310; GO:2000370	Drosophila melanogaster (Fruit fly)
NP_476682.1	A0A0B4KFT3	unreviewed	A0A0B4KFT3_DROME	Protein kinase C (EC 2.7.11.13)	Pkc53E Dmel\CG6622 DPKC dPKC Dpkc1 dPKC53E(br) pck53E PK-C PKC PKC 53B PKC 53E PKC-53B PKC-53E PKC1 Pkc1 PKC53E PKC53e pkc53E pkc53e CG6622 Dmel_CG6622			7227			ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; zinc ion binding [GO:0008270]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein serine kinase activity [GO:0106310]; zinc ion binding [GO:0008270]	GO:0004697; GO:0005524; GO:0008270; GO:0106310	Drosophila melanogaster (Fruit fly)
NP_001097350.1	A8DYG9	unreviewed	A8DYG9_DROME	Protein kinase C (EC 2.7.11.13)	Pkc53E Dmel\CG6622 DPKC dPKC Dpkc1 dPKC53E(br) pck53E PK-C PKC PKC 53B PKC 53E PKC-53B PKC-53E PKC1 Pkc1 PKC53E PKC53e pkc53e CG6622 Dmel_CG6622			7227			ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; zinc ion binding [GO:0008270]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; zinc ion binding [GO:0008270]	GO:0004697; GO:0005524; GO:0008270	Drosophila melanogaster (Fruit fly)
NP_001246378.1	A8DYG9	unreviewed	A8DYG9_DROME	Protein kinase C (EC 2.7.11.13)	Pkc53E Dmel\CG6622 DPKC dPKC Dpkc1 dPKC53E(br) pck53E PK-C PKC PKC 53B PKC 53E PKC-53B PKC-53E PKC1 Pkc1 PKC53E PKC53e pkc53e CG6622 Dmel_CG6622			7227			ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; zinc ion binding [GO:0008270]	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; zinc ion binding [GO:0008270]	GO:0004697; GO:0005524; GO:0008270	Drosophila melanogaster (Fruit fly)
NP_725626.1	P05130	reviewed	KPC1_DROME	Protein kinase C, brain isozyme (PKC) (EC 2.7.11.13) (dPKC53E(BR))	Pkc53E PKC1 CG6622		FUNCTION: PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins (By similarity). PKC also serves as the receptor for phorbol esters, a class of tumor promoters (By similarity). Acts in a hh-signaling pathway which regulates the Duox-dependent gut immune response to bacterial uracil; required for the activation of Cad99C and consequently Cad99C-dependent endosome formation, which is essential for the Duox-dependent production of reactive oxygen species (ROS) in response to intestinal bacterial infection (PubMed:25639794). {ECO:0000250|UniProtKB:P34885, ECO:0000269|PubMed:25639794}.	7227	plasma membrane [GO:0005886]	intracellular signal transduction [GO:0035556]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; regulation of hemocyte proliferation [GO:0035206]	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium,diacylglycerol-dependent serine/threonine kinase activity [GO:0004698]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]; intracellular signal transduction [GO:0035556]; positive regulation of clathrin-dependent endocytosis [GO:2000370]; regulation of hemocyte proliferation [GO:0035206]	ATP binding [GO:0005524]; calcium,diacylglycerol-dependent serine/threonine kinase activity [GO:0004698]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]	GO:0004674; GO:0004698; GO:0005524; GO:0005886; GO:0008270; GO:0035206; GO:0035556; GO:0106310; GO:2000370	Drosophila melanogaster (Fruit fly)
