NP_001307636.1	12bcae19f236bbb8830f994e2aa522af	936	Pfam	PF02185	Hr1 repeat	51	110	9.5E-11	T	14-10-2025	IPR011072	HR1 rho-binding domain	-	-
NP_001307636.1	12bcae19f236bbb8830f994e2aa522af	936	Pfam	PF00433	Protein kinase C terminal domain	889	931	1.3E-9	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001307637.1	13552e2842f1829cb45d9d2b3e044123	827	Pfam	PF02185	Hr1 repeat	61	124	1.0E-13	T	14-10-2025	IPR011072	HR1 rho-binding domain	-	-
NP_001307637.1	13552e2842f1829cb45d9d2b3e044123	827	Pfam	PF00069	Protein kinase domain	505	759	9.1E-63	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001307637.1	13552e2842f1829cb45d9d2b3e044123	827	Pfam	PF00433	Protein kinase C terminal domain	780	822	1.1E-9	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001307638.1	6299c302ca0566af4d8f3a90ed8f2ab1	968	Pfam	PF00069	Protein kinase domain	646	900	1.2E-62	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001307638.1	6299c302ca0566af4d8f3a90ed8f2ab1	968	Pfam	PF00433	Protein kinase C terminal domain	921	963	1.3E-9	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001307638.1	6299c302ca0566af4d8f3a90ed8f2ab1	968	Pfam	PF02185	Hr1 repeat	137	200	3.1E-12	T	14-10-2025	IPR011072	HR1 rho-binding domain	-	-
NP_001307638.1	6299c302ca0566af4d8f3a90ed8f2ab1	968	Pfam	PF02185	Hr1 repeat	218	281	1.2E-13	T	14-10-2025	IPR011072	HR1 rho-binding domain	-	-
NP_001307638.1	6299c302ca0566af4d8f3a90ed8f2ab1	968	Pfam	PF02185	Hr1 repeat	51	110	9.9E-11	T	14-10-2025	IPR011072	HR1 rho-binding domain	-	-
NP_001307795.1	6d7bbe3458bdd08f91e16374205e4eb6	674	Pfam	PF00169	PH domain	7	111	4.6E-16	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001307795.1	6d7bbe3458bdd08f91e16374205e4eb6	674	Pfam	PF07714	Protein tyrosine and serine/threonine kinase	416	664	3.1E-94	T	14-10-2025	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	-	-
NP_001307795.1	6d7bbe3458bdd08f91e16374205e4eb6	674	Pfam	PF00779	BTK motif	119	147	1.8E-8	T	14-10-2025	IPR001562	Zinc finger, Btk motif	-	-
NP_001307795.1	6d7bbe3458bdd08f91e16374205e4eb6	674	Pfam	PF00017	SH2 domain	295	376	2.2E-17	T	14-10-2025	IPR000980	SH2 domain	-	-
NP_001308572.1	00608554f29b37bf5e2fe02931ee9e8a	1302	Pfam	PF00069	Protein kinase domain	6	268	4.3E-59	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001308572.1	00608554f29b37bf5e2fe02931ee9e8a	1302	Pfam	PF25346	MRCK kinase PH domain	1067	1153	3.6E-9	T	14-10-2025	IPR057529	MRCK/ROCK kinase, PH domain	-	-
NP_001308572.1	00608554f29b37bf5e2fe02931ee9e8a	1302	Pfam	PF08912	Rho Binding	892	960	1.8E-21	T	14-10-2025	IPR015008	ROCK, Rho binding domain	-	-
NP_001309156.1	127e43a326b87bc8fc6e3c4806a0b771	521	Pfam	PF00069	Protein kinase domain	148	405	9.1E-72	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309156.1	127e43a326b87bc8fc6e3c4806a0b771	521	Pfam	PF00433	Protein kinase C terminal domain	58	96	2.9E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001309157.1	07f14fa081dcdaef64fff0bc9cab5c76	766	Pfam	PF00069	Protein kinase domain	174	282	1.4E-18	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309157.1	07f14fa081dcdaef64fff0bc9cab5c76	766	Pfam	PF00069	Protein kinase domain	393	650	2.2E-71	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309157.1	07f14fa081dcdaef64fff0bc9cab5c76	766	Pfam	PF00069	Protein kinase domain	49	171	7.5E-20	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309157.1	07f14fa081dcdaef64fff0bc9cab5c76	766	Pfam	PF00433	Protein kinase C terminal domain	303	341	4.7E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001309158.1	260b239a2c4e34457286ca38d4ee2e28	795	Pfam	PF00433	Protein kinase C terminal domain	339	377	4.9E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001309158.1	260b239a2c4e34457286ca38d4ee2e28	795	Pfam	PF00069	Protein kinase domain	49	318	3.6E-66	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309158.1	260b239a2c4e34457286ca38d4ee2e28	795	Pfam	PF00069	Protein kinase domain	429	679	2.9E-64	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309159.1	e9baf45fcc3c71765eac4aec96080c13	535	Pfam	PF00433	Protein kinase C terminal domain	72	110	3.0E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001309159.1	e9baf45fcc3c71765eac4aec96080c13	535	Pfam	PF00069	Protein kinase domain	162	419	9.7E-72	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309160.1	13174ed9a44f26445b255e455753baba	563	Pfam	PF00433	Protein kinase C terminal domain	100	138	3.2E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001309160.1	13174ed9a44f26445b255e455753baba	563	Pfam	PF00069	Protein kinase domain	190	447	1.1E-71	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309161.1	e7e901be5164ec90b8faea146b5c5ab0	729	Pfam	PF00069	Protein kinase domain	356	613	1.9E-71	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309161.1	e7e901be5164ec90b8faea146b5c5ab0	729	Pfam	PF00069	Protein kinase domain	59	245	1.0E-46	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309161.1	e7e901be5164ec90b8faea146b5c5ab0	729	Pfam	PF00433	Protein kinase C terminal domain	266	304	4.4E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001309163.1	977fb8f13f8af2f3903dead7a7a10c8f	610	Pfam	PF00433	Protein kinase C terminal domain	147	185	3.6E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001309163.1	977fb8f13f8af2f3903dead7a7a10c8f	610	Pfam	PF00069	Protein kinase domain	237	494	1.3E-71	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309163.1	977fb8f13f8af2f3903dead7a7a10c8f	610	Pfam	PF00069	Protein kinase domain	16	126	6.3E-19	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309164.1	1ab53de15ee353e0152493e6b06ddbf4	723	Pfam	PF00069	Protein kinase domain	1	239	3.4E-58	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309164.1	1ab53de15ee353e0152493e6b06ddbf4	723	Pfam	PF00069	Protein kinase domain	350	607	1.9E-71	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309164.1	1ab53de15ee353e0152493e6b06ddbf4	723	Pfam	PF00433	Protein kinase C terminal domain	260	298	4.4E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001309165.1	4def9008063533eb5eacb4ce369ffb4c	774	Pfam	PF00069	Protein kinase domain	49	205	1.2E-36	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309165.1	4def9008063533eb5eacb4ce369ffb4c	774	Pfam	PF00069	Protein kinase domain	401	658	2.2E-71	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309165.1	4def9008063533eb5eacb4ce369ffb4c	774	Pfam	PF00433	Protein kinase C terminal domain	311	349	4.8E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001309166.1	1ab53de15ee353e0152493e6b06ddbf4	723	Pfam	PF00069	Protein kinase domain	1	239	3.4E-58	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309166.1	1ab53de15ee353e0152493e6b06ddbf4	723	Pfam	PF00069	Protein kinase domain	350	607	1.9E-71	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309166.1	1ab53de15ee353e0152493e6b06ddbf4	723	Pfam	PF00433	Protein kinase C terminal domain	260	298	4.4E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001309167.1	bc44531cf66f0b5bf89988307984a2e6	583	Pfam	PF00433	Protein kinase C terminal domain	120	158	3.4E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001309167.1	bc44531cf66f0b5bf89988307984a2e6	583	Pfam	PF00069	Protein kinase domain	210	467	1.2E-71	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309167.1	bc44531cf66f0b5bf89988307984a2e6	583	Pfam	PF00069	Protein kinase domain	1	99	1.8E-13	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309922.1	1130f31caa7c38aa581c9029b2993c68	1288	Pfam	PF00069	Protein kinase domain	986	1240	3.7E-57	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001309922.1	1130f31caa7c38aa581c9029b2993c68	1288	Pfam	PF22697	SOS1/NGEF-like PH domain	420	527	1.6E-26	T	14-10-2025	IPR055251	SOS1/NGEF-like, PH domain	-	-
NP_001309922.1	1130f31caa7c38aa581c9029b2993c68	1288	Pfam	PF07679	Immunoglobulin I-set domain	773	867	4.3E-15	T	14-10-2025	IPR013098	Immunoglobulin I-set	-	-
NP_001309922.1	1130f31caa7c38aa581c9029b2993c68	1288	Pfam	PF00041	Fibronectin type III domain	873	961	8.6E-10	T	14-10-2025	IPR003961	Fibronectin type III	-	-
NP_001309922.1	1130f31caa7c38aa581c9029b2993c68	1288	Pfam	PF16609	SH3-RhoGEF linking unstructured region	25	194	2.8E-22	T	14-10-2025	-	-	-	-
NP_001309922.1	1130f31caa7c38aa581c9029b2993c68	1288	Pfam	PF00621	RhoGEF domain	236	405	6.0E-38	T	14-10-2025	IPR000219	Dbl homology domain	-	-
NP_001309922.1	1130f31caa7c38aa581c9029b2993c68	1288	Pfam	PF23587	Kalirin, SH3	618	686	7.3E-40	T	14-10-2025	IPR047053	Kalirin/Triple functional domain protein, SH3 domain 2	-	-
NP_001310194.1	bffe28f8aa424873f7864a842f842f72	706	Pfam	PF00069	Protein kinase domain	382	634	2.6E-61	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001310194.1	bffe28f8aa424873f7864a842f842f72	706	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	232	283	8.0E-16	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001310194.1	bffe28f8aa424873f7864a842f842f72	706	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	160	210	1.7E-12	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001310194.1	bffe28f8aa424873f7864a842f842f72	706	Pfam	PF21494	Protein kinase C delta/epsilon/eta/theta, C2 domain	4	113	2.0E-46	T	14-10-2025	-	-	-	-
NP_001310194.1	bffe28f8aa424873f7864a842f842f72	706	Pfam	PF00433	Protein kinase C terminal domain	655	696	9.5E-9	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001310195.1	8c02b0a45be876e41efb09ce58f3a67e	581	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	35	85	1.3E-12	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001310195.1	8c02b0a45be876e41efb09ce58f3a67e	581	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	107	158	6.2E-16	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001310195.1	8c02b0a45be876e41efb09ce58f3a67e	581	Pfam	PF00433	Protein kinase C terminal domain	530	571	7.5E-9	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001310195.1	8c02b0a45be876e41efb09ce58f3a67e	581	Pfam	PF00069	Protein kinase domain	257	509	1.7E-61	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001316998.1	cfb6cd71dfe25def4e68812f09e9fa36	920	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	279	328	1.2E-12	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001316998.1	cfb6cd71dfe25def4e68812f09e9fa36	920	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	150	197	6.0E-12	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001316998.1	cfb6cd71dfe25def4e68812f09e9fa36	920	Pfam	PF00069	Protein kinase domain	595	847	3.7E-68	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001316998.1	cfb6cd71dfe25def4e68812f09e9fa36	920	Pfam	PF25525	Serine/threonine-protein kinase D1-like, ubiquitin-like domain	49	135	6.2E-28	T	14-10-2025	IPR057764	Serine/threonine-protein kinase D1-3-like, ubiquitin-like domain	-	-
NP_001316998.1	cfb6cd71dfe25def4e68812f09e9fa36	920	Pfam	PF00169	PH domain	431	505	6.6E-5	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001317370.1	3292c86ff9041340b15dcf4372027681	719	Pfam	PF00433	Protein kinase C terminal domain	329	365	0.055	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001317370.1	3292c86ff9041340b15dcf4372027681	719	Pfam	PF00069	Protein kinase domain	402	659	8.6E-76	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001317370.1	3292c86ff9041340b15dcf4372027681	719	Pfam	PF00069	Protein kinase domain	46	304	2.7E-68	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001317440.1	939d0dc0103da162b6bfa21d46f808d7	438	Pfam	PF00433	Protein kinase C terminal domain	387	432	3.0E-6	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001317440.1	939d0dc0103da162b6bfa21d46f808d7	438	Pfam	PF00069	Protein kinase domain	154	277	1.6E-30	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001317440.1	939d0dc0103da162b6bfa21d46f808d7	438	Pfam	PF00069	Protein kinase domain	278	366	5.3E-14	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001317440.1	939d0dc0103da162b6bfa21d46f808d7	438	Pfam	PF00169	PH domain	6	106	6.8E-17	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001317441.1	2e1d88795e0f3e9948f2262a9d2e08fe	745	Pfam	PF00069	Protein kinase domain	426	683	4.2E-71	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001317441.1	2e1d88795e0f3e9948f2262a9d2e08fe	745	Pfam	PF00069	Protein kinase domain	73	330	3.0E-67	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001317441.1	2e1d88795e0f3e9948f2262a9d2e08fe	745	Pfam	PF00433	Protein kinase C terminal domain	354	390	0.076	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001335319.1	3152f106c4e9cb9ab21eb5a3339282b1	824	Pfam	PF00169	PH domain	335	409	5.7E-5	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001335319.1	3152f106c4e9cb9ab21eb5a3339282b1	824	Pfam	PF25525	Serine/threonine-protein kinase D1-like, ubiquitin-like domain	1	39	7.0E-11	T	14-10-2025	IPR057764	Serine/threonine-protein kinase D1-3-like, ubiquitin-like domain	-	-
NP_001335319.1	3152f106c4e9cb9ab21eb5a3339282b1	824	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	183	232	1.0E-12	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001335319.1	3152f106c4e9cb9ab21eb5a3339282b1	824	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	54	101	5.2E-12	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001335319.1	3152f106c4e9cb9ab21eb5a3339282b1	824	Pfam	PF00069	Protein kinase domain	499	751	3.0E-68	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001337268.1	8908dddf1d0c46a3ae3030f1fd13ae59	1058	Pfam	PF00069	Protein kinase domain	601	749	5.1E-36	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001337268.1	8908dddf1d0c46a3ae3030f1fd13ae59	1058	Pfam	PF00069	Protein kinase domain	799	938	1.5E-13	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001337268.1	8908dddf1d0c46a3ae3030f1fd13ae59	1058	Pfam	PF00433	Protein kinase C terminal domain	958	1008	1.0	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001337269.1	971cb8558f3b59cb0119cf930ac172c5	1025	Pfam	PF00069	Protein kinase domain	799	905	2.6E-16	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001337269.1	971cb8558f3b59cb0119cf930ac172c5	1025	Pfam	PF00069	Protein kinase domain	601	749	4.8E-36	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001337269.1	971cb8558f3b59cb0119cf930ac172c5	1025	Pfam	PF00433	Protein kinase C terminal domain	925	975	0.99	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001337321.1	4f179516c61db8f53dd36031de0f6c1f	850	Pfam	PF00069	Protein kinase domain	426	574	3.6E-36	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001337321.1	4f179516c61db8f53dd36031de0f6c1f	850	Pfam	PF00069	Protein kinase domain	624	730	2.0E-16	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001337321.1	4f179516c61db8f53dd36031de0f6c1f	850	Pfam	PF00433	Protein kinase C terminal domain	750	800	0.79	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001337732.1	c0648c6c1957d4901c6f5fa36c0310e6	417	Pfam	PF00069	Protein kinase domain	71	341	1.2E-59	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001337732.1	c0648c6c1957d4901c6f5fa36c0310e6	417	Pfam	PF00433	Protein kinase C terminal domain	365	405	1.3E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001337733.1	c0648c6c1957d4901c6f5fa36c0310e6	417	Pfam	PF00069	Protein kinase domain	71	341	1.2E-59	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001337733.1	c0648c6c1957d4901c6f5fa36c0310e6	417	Pfam	PF00433	Protein kinase C terminal domain	365	405	1.3E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001337734.1	8c9b41780df4d9af835eb096fe8fa1d6	355	Pfam	PF00433	Protein kinase C terminal domain	303	343	1.0E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001337734.1	8c9b41780df4d9af835eb096fe8fa1d6	355	Pfam	PF00069	Protein kinase domain	17	279	1.4E-62	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001337735.1	8c9b41780df4d9af835eb096fe8fa1d6	355	Pfam	PF00433	Protein kinase C terminal domain	303	343	1.0E-5	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001337735.1	8c9b41780df4d9af835eb096fe8fa1d6	355	Pfam	PF00069	Protein kinase domain	17	279	1.4E-62	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001341605.1	46be2ec46a943c63c38cc964c3816e4c	695	Pfam	PF00433	Protein kinase C terminal domain	643	684	1.4E-9	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001341605.1	46be2ec46a943c63c38cc964c3816e4c	695	Pfam	PF21494	Protein kinase C delta/epsilon/eta/theta, C2 domain	23	131	2.1E-49	T	14-10-2025	-	-	-	-
NP_001341605.1	46be2ec46a943c63c38cc964c3816e4c	695	Pfam	PF00069	Protein kinase domain	371	622	2.8E-59	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001341605.1	46be2ec46a943c63c38cc964c3816e4c	695	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	178	228	8.2E-12	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001341605.1	46be2ec46a943c63c38cc964c3816e4c	695	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	250	301	2.1E-16	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001341607.1	2c40cda787696a6c46c23b53412f1a39	692	Pfam	PF00069	Protein kinase domain	368	619	2.8E-59	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001341607.1	2c40cda787696a6c46c23b53412f1a39	692	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	247	298	2.1E-16	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001341607.1	2c40cda787696a6c46c23b53412f1a39	692	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	175	225	8.2E-12	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001341607.1	2c40cda787696a6c46c23b53412f1a39	692	Pfam	PF21494	Protein kinase C delta/epsilon/eta/theta, C2 domain	20	128	2.1E-49	T	14-10-2025	-	-	-	-
NP_001341607.1	2c40cda787696a6c46c23b53412f1a39	692	Pfam	PF00433	Protein kinase C terminal domain	640	681	1.4E-9	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001341608.1	c30946c08ab398346fe2e6bd336ca8f4	676	Pfam	PF00433	Protein kinase C terminal domain	624	665	1.4E-9	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001341608.1	c30946c08ab398346fe2e6bd336ca8f4	676	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	231	282	2.0E-16	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001341608.1	c30946c08ab398346fe2e6bd336ca8f4	676	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	159	209	7.9E-12	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001341608.1	c30946c08ab398346fe2e6bd336ca8f4	676	Pfam	PF00069	Protein kinase domain	352	603	2.7E-59	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001341608.1	c30946c08ab398346fe2e6bd336ca8f4	676	Pfam	PF21494	Protein kinase C delta/epsilon/eta/theta, C2 domain	4	112	2.1E-49	T	14-10-2025	-	-	-	-
NP_001341609.1	c30946c08ab398346fe2e6bd336ca8f4	676	Pfam	PF00433	Protein kinase C terminal domain	624	665	1.4E-9	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001341609.1	c30946c08ab398346fe2e6bd336ca8f4	676	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	231	282	2.0E-16	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001341609.1	c30946c08ab398346fe2e6bd336ca8f4	676	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	159	209	7.9E-12	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001341609.1	c30946c08ab398346fe2e6bd336ca8f4	676	Pfam	PF00069	Protein kinase domain	352	603	2.7E-59	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001341609.1	c30946c08ab398346fe2e6bd336ca8f4	676	Pfam	PF21494	Protein kinase C delta/epsilon/eta/theta, C2 domain	4	112	2.1E-49	T	14-10-2025	-	-	-	-
NP_001349707.1	a533bf58b7adec08a2413b8b03e8180a	575	Pfam	PF00069	Protein kinase domain	79	340	6.7E-70	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001349707.1	a533bf58b7adec08a2413b8b03e8180a	575	Pfam	PF00169	PH domain	447	536	3.2E-6	T	14-10-2025	IPR001849	Pleckstrin homology domain	-	-
NP_001349707.1	a533bf58b7adec08a2413b8b03e8180a	575	Pfam	PF00615	Regulator of G protein signaling domain	8	61	6.7E-4	T	14-10-2025	IPR016137	RGS domain	-	-
NP_001352939.1	bca26581076cb2dc9566696a329755dc	1691	Pfam	PF15796	KELK-motif containing domain of MRCK Ser/Thr protein kinase	529	608	1.9E-29	T	14-10-2025	IPR031597	KELK-motif containing domain	-	-
NP_001352939.1	bca26581076cb2dc9566696a329755dc	1691	Pfam	PF08826	DMPK coiled coil domain like	881	941	2.5E-23	T	14-10-2025	IPR014930	Myotonic dystrophy protein kinase, coiled coil	-	-
NP_001352939.1	bca26581076cb2dc9566696a329755dc	1691	Pfam	PF25346	MRCK kinase PH domain	1035	1161	4.4E-57	T	14-10-2025	IPR057529	MRCK/ROCK kinase, PH domain	-	-
NP_001352939.1	bca26581076cb2dc9566696a329755dc	1691	Pfam	PF00780	CNH domain	1197	1453	6.7E-75	T	14-10-2025	IPR001180	Citron homology (CNH) domain	-	-
NP_001352939.1	bca26581076cb2dc9566696a329755dc	1691	Pfam	PF00433	Protein kinase C terminal domain	362	404	0.0016	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001352939.1	bca26581076cb2dc9566696a329755dc	1691	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	972	1022	2.8E-7	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001352939.1	bca26581076cb2dc9566696a329755dc	1691	Pfam	PF00069	Protein kinase domain	77	343	2.6E-52	T	14-10-2025	IPR000719	Protein kinase domain	-	-
NP_001352940.1	8ee675099c9980c0e91e3752b0dd361d	1699	Pfam	PF00780	CNH domain	1205	1461	6.8E-75	T	14-10-2025	IPR001180	Citron homology (CNH) domain	-	-
NP_001352940.1	8ee675099c9980c0e91e3752b0dd361d	1699	Pfam	PF15796	KELK-motif containing domain of MRCK Ser/Thr protein kinase	529	608	1.9E-29	T	14-10-2025	IPR031597	KELK-motif containing domain	-	-
NP_001352940.1	8ee675099c9980c0e91e3752b0dd361d	1699	Pfam	PF00130	Phorbol esters/diacylglycerol binding domain (C1 domain)	980	1030	2.8E-7	T	14-10-2025	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-	-
NP_001352940.1	8ee675099c9980c0e91e3752b0dd361d	1699	Pfam	PF00433	Protein kinase C terminal domain	362	404	0.0016	T	14-10-2025	IPR017892	Protein kinase, C-terminal	-	-
NP_001352940.1	8ee675099c9980c0e91e3752b0dd361d	1699	Pfam	PF25346	MRCK kinase PH domain	1043	1169	4.4E-57	T	14-10-2025	IPR057529	MRCK/ROCK kinase, PH domain	-	-
NP_001352940.1	8ee675099c9980c0e91e3752b0dd361d	1699	Pfam	PF08826	DMPK coiled coil domain like	881	941	2.5E-23	T	14-10-2025	IPR014930	Myotonic dystrophy protein kinase, coiled coil	-	-
NP_001352940.1	8ee675099c9980c0e91e3752b0dd361d	1699	Pfam	PF00069	Protein kinase domain	77	343	2.6E-52	T	14-10-2025	IPR000719	Protein kinase domain	-	-
