Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM2323872v1	GCA_023238725.1		Scortum barcoo	214431					CB-2022		Annotation submitted by bgi	Chromosome	2022-05-12	JAKKUS01	1258
bLarMic1.1	GCF_964199755.1	GCA_964199755.1	Larus michahellis	119627							GCF_964199755.1-RS_2025_06	Chromosome	2024-07-14	CAXMZH01	617
BBRACH_0.4	GCF_023856365.1	GCA_023856365.1	Brienomyrus brachyistius	42636					T26	male	NCBI Brienomyrus brachyistius Annotation Release 100	Chromosome	2022-06-28	JAMWYG01	1425
LegGlyc_1.1	GCF_023078275.1	GCA_023078275.1	Leguminivora glycinivorella	1035111					SPB_JAAS2020		NCBI Leguminivora glycinivorella Annotation Release 100	Chromosome	2022-04-22	JAKXMO01	40
bCalBor7.hap1.2	GCF_964195595.1	GCA_964195595.2	Calonectris borealis	1323832							GCF_964195595.1-RS_2025_07	Chromosome	2024-07-24	CAXMUC02	354
ASM162519v1	GCA_001625195.1	GCF_001625195.1	Drechmeria coniospora	98403		ARSEF 6962					Annotation submitted by Biotechnology Research Institute, Chinese Academy of Agricultural Sciences	Chromosome	2016-04-24	LAYC01	28
ASM162519v1	GCF_001625195.1	GCA_001625195.1	Drechmeria coniospora	98403		ARSEF 6962					Annotation submitted by Biotechnology Research Institute, Chinese Academy of Agricultural Sciences	Chromosome	2016-04-24	LAYC01	28
Bbes1.0	GCA_002563875.1	GCF_002563875.1	Besnoitia besnoiti	94643		Bb-Ger1					Annotation submitted by Hernan Lorenzi	Chromosome	2017-10-18	NWUJ01	185
Bbes1.0	GCF_002563875.1	GCA_002563875.1	Besnoitia besnoiti	94643		Bb-Ger1					Annotation submitted by Hernan Lorenzi	Chromosome	2017-10-18	NWUJ01	185
MTEXT_v1	GCA_964270295.1		Musa textilis	228183							Annotation submitted by Genoscope	Chromosome	2024-09-28	CAXWQP01	12
ASM1485142v1	GCA_014851425.1		Senna tora	362788			Myeongyun				Annotation submitted by National Institute of Agricultural Sciences	Chromosome	2020-10-07	JAAIUW01	444
tdTriRege1.2	GCA_944472135.2		Trichobilharzia regenti	157069							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-15	CALYDD02	572
aBomBom1.pri	GCF_027579735.1	GCA_027579735.1	Bombina bombina	8345					aBomBom1	male	GCF_027579735.1-RS_2023_03	Chromosome	2023-01-09	JAQBIC01	2467
mHalGry1.hap1.1	GCF_964656455.1	GCA_964656455.1	Halichoerus grypus	9711							GCF_964656455.1-RS_2025_12	Chromosome	2025-01-02	CAZZRU01	170
fNotCel1.pri	GCF_009762535.1	GCA_009762535.1	Notolabrus celidotus	1203425					fNotCel1	male	NCBI Notolabrus celidotus Annotation Release 100	Chromosome	2019-12-18	WOTL01	467
ASM4086904v1	GCF_040869045.1	GCA_040869045.1	Eurosta solidaginis	178769					ZX-2024a	male	GCF_040869045.1-RS_2024_08	Chromosome	2024-07-26	JBEVCW01	569
ASM3624710v2	GCA_036247105.2		Cirrhinus mrigala	683832					CM1030	male	Annotation submitted by ICAR-Consortium Research Platform on Genomics	Chromosome	2024-06-24	JAMKFB02	940
bCinCin1.1	GCF_963662255.1	GCA_963662255.1	Cinclus cinclus	127875							GCF_963662255.1-RS_2024_01	Chromosome	2023-12-11	CAVLEW01	277
rZooViv1.1	GCF_963506605.1	GCA_963506605.1	Zootoca vivipara	8524							GCF_963506605.1-RS_2023_10	Chromosome	2023-09-20	CAUOQL01	48
UU_Maror_2	GCA_018924745.1	GCF_018924745.1	Marasmius oreades	181124					03SP1		Annotation submitted by Uppsala University	Chromosome	2021-06-17	JAFLEJ01	32
UU_Maror_2	GCF_018924745.1	GCA_018924745.1	Marasmius oreades	181124					03SP1		Annotation submitted by Uppsala University	Chromosome	2021-06-17	JAFLEJ01	32
fLimLim1.1	GCF_963576545.1	GCA_963576545.1	Limanda limanda	27771							GCF_963576545.1-RS_2023_11	Chromosome	2023-11-03	CAUYVP01	338
bAnaAcu1.1	GCF_963932015.1	GCA_963932015.1	Anas acuta	28680							GCF_963932015.1-RS_2024_09	Chromosome	2024-02-07	CAWVPS01	394
mGloMel1.2	GCF_963455315.2	GCA_963455315.2	Globicephala melas	9731							GCF_963455315.2-RS_2024_11	Chromosome	2024-09-07	CAUOHG02	992
bGeoTri1.pri	GCA_009764595.1		Geothlypis trichas	135433					bGeoTri1	female	GCA_009764595.1-GB_2025_08_09	Chromosome	2019-12-19	WSPJ01	278
fConCon1.1	GCF_963514075.1	GCA_963514075.1	Conger conger	82655							GCF_963514075.1-RS_2023_11	Chromosome	2023-09-29	CAUPSU01	380
FXH_PpeL_2.0	GCA_036250285.1		Pyrocoelia pectoralis	417401					XCY_ONT2		Annotation submitted by Huazhong Agricultural University	Chromosome	2024-01-31	JAVRBK01	339
MBARI_Bmic_1.0	GCF_026151205.1	GCA_026151205.1	Bolinopsis microptera	2820187					Bmic1	hermaphrodite	GCF_026151205.1-RS_2024_03	Chromosome	2022-11-14	JAIOUN01	346
rEryReg1.hap1	GCF_031021105.1	GCA_031021105.1	Erythrolamprus reginae	121349					rEryReg1	female	GCF_031021105.1-RS_2024_12	Chromosome	2023-08-31	JAVGWQ01	400
mMyoDau2.1	GCF_963259705.1	GCA_963259705.1	Myotis daubentonii	98922							GCF_963259705.1-RS_2023_09	Chromosome	2023-08-20	CAUJLG01	121
Dgunungcola_SK_2	GCA_025200985.1	GCF_025200985.1	Drosophila gunungcola	103775		Sukarami				male	Annotation submitted by National Central University	Chromosome	2022-09-15	JAMKOV01	351
Dgunungcola_SK_2	GCF_025200985.1	GCA_025200985.1	Drosophila gunungcola	103775		Sukarami				male	GCF_025200985.1-RS_2023_01	Chromosome	2022-09-15	JAMKOV01	351
iyVesCrab1.2	GCF_910589235.1	GCA_910589235.2	Vespa crabro	7445							NCBI Vespa crabro Annotation Release 100	Chromosome	2022-02-09	CAJUUB02	99
ASM1514329v1	GCA_015143295.1		Tetracentron sinense	13715					YNK0		Annotation submitted by Ori-Gene Co. Ltd.	Chromosome	2020-11-02	JABCRI01	1483
ASM836982v1	GCA_008369825.1		Triplophysa tibetana	1572043					TTIB1903HZAU	female	Annotation submitted by Gooalgene	Chromosome	2019-09-12	SOYY01	292
MGC_Penvy_1	GCA_017499595.2	GCF_017499595.1	Psilocybe cubensis	181762		MGC-MH-2018					Annotation submitted by Medicinal Genomics	Chromosome	2022-02-04	JAFIQS02	20
MGC_Penvy_1	GCF_017499595.1	GCA_017499595.2	Psilocybe cubensis	181762		MGC-MH-2018					Annotation submitted by Medicinal Genomics	Chromosome	2022-02-04	JAFIQS02	20
bNumArq3.hap1.1	GCF_964106895.1	GCA_964106895.1	Numenius arquata	31919							GCF_964106895.1-RS_2025_05	Chromosome	2024-06-06	CAXKZM01	1818
fSalaFa1.1	GCF_902148845.1	GCA_902148845.1	Salarias fasciatus	181472							GCF_902148845.1-RS_2025_07	Chromosome	2019-07-03	CABFVL01	202
ASM4247946v1	GCA_042479465.1		Coilia grayii	363190					G4	male	Annotation submitted by Sun Yat-sen University	Chromosome	2024-10-03	JBHFQA01	618
ASM1111435v1	GCA_011114355.1		Carex littledalei	544730					C.B.Clarke		Annotation submitted by Tibet Academy of Agricultural and Animal Sciences	Chromosome	2020-03-17	SWLB01	214
fSphaOr1.1	GCF_902148855.1	GCA_902148855.1	Sphaeramia orbicularis	375764							GCF_902148855.1-RS_2025_07	Chromosome	2019-07-03	CABFVN01	340
mOncTor1.1	GCF_903995425.1	GCA_903995425.1	Onychomys torridus	38674							NCBI Onychomys torridus Annotation Release 100	Chromosome	2020-08-21	CAJFAA01	2949
iAphHyp1.2	GCF_902806685.2	GCA_902806685.2	Maniola hyperantus	2795564							GCF_902806685.2-RS_2024_10	Chromosome	2024-04-04	CADCXM02	87
UCONN_Acne_2	GCA_035582765.1		Acer negundo	4023					Arnold Arboretum Accession 253-2013*B		Annotation submitted by University of Connecticut	Chromosome	2024-01-12	JAUKTQ01	31
UPYG_1.0	GCA_040894045.1		Umbra pygmaea	75934				Belgium (invasive population)	Up_M1	male	Annotation submitted by GenoFish	Chromosome	2024-07-30	JAGEUA01	963
dImpGla2.1	GCF_907164915.1	GCA_907164915.1	Impatiens glandulifera	253017							NCBI Impatiens glandulifera Annotation Release 100	Chromosome	2021-05-17	CAJRAH01	1114
CCRI_HENU_Gaus_1.1	GCA_005393395.2		Gossypium australe	47621				wild	PA1801		Annotation submitted by The institute of Cotton Research of Chinese Academy Agricultural Sciences	Chromosome	2019-09-17	SMMG02	564
USDA_Vadar_1.0_pri	GCA_020921065.1		Vaccinium darrowii	229202			NJ 8807/NJ 8810				Annotation submitted by Hulse-KempLab	Chromosome	2021-11-22	JAFMTH01	107
ASM2397382v1	GCA_023973825.1	GCF_023973825.1	Plasmodium brasilianum	5824		Bolivian I					Annotation submitted by Centers for Disease Control and Prevention	Chromosome	2022-06-29	JAMQJU01	43
ASM2397382v1	GCF_023973825.1	GCA_023973825.1	Plasmodium brasilianum	5824		Bolivian I					Annotation submitted by Centers for Disease Control and Prevention	Chromosome	2022-06-29	JAMQJU01	43
ASM3073783v1	GCA_030737835.1		Acorus gramineus	55184				Fujian	SCP		Annotation submitted by Fujian Agriculture and Forestry University	Chromosome	2023-08-16	JAUJYN01	137
Mcan_v2	GCA_023653495.1		Melastoma candidum	119954					YZ-2022		Annotation submitted by Sun Yat-sen University	Chromosome	2022-06-07	JAKZET01	266
ASM1883169v1	GCF_018831695.1	GCA_018831695.1	Puntigrus tetrazona	1606681					hp1		NCBI Puntigrus tetrazona Annotation Release 100	Chromosome	2021-06-10	JAEQBD01	1121
ASM2978341v1	GCA_029783415.1		Anisodus acutangulus	402998					KIB-2019		Annotation submitted by Kunming Institute of Botany, Chinese Academy of Sciences	Chromosome	2023-04-18	JAJAGQ01	62
Bduncani_v1	GCA_028658345.1	GCF_028658345.1	Babesia duncani	323732					WA1		Annotation submitted by University of California	Chromosome	2023-02-21	JALLKP01	165
Bduncani_v1	GCF_028658345.1	GCA_028658345.1	Babesia duncani	323732					WA1		Annotation submitted by University of California	Chromosome	2023-02-21	JALLKP01	165
bilby.v1.9.chrom.fasta	GCF_037893015.1	GCA_037893015.1	Macrotis lagotis	92651					mMagLag1	female	GCF_037893015.1-RS_2025_05	Chromosome	2024-04-04	JAZEUY01	608
aAscTru1.hap1	GCF_040206685.1	GCA_040206685.1	Ascaphus truei	8439					aAscTru1	male	GCF_040206685.1-RS_2025_07	Chromosome	2024-06-17	JBDGIJ01	3549
LU_Pher_1.0	GCA_017918235.1	GCF_017918235.1	Porcisia hertigi	2761500		C119					Annotation submitted by Lancaster University	Chromosome	2021-04-15	JAFJZO01	74
LU_Pher_1.0	GCF_017918235.1	GCA_017918235.1	Porcisia hertigi	2761500		C119					Annotation submitted by Lancaster University	Chromosome	2021-04-15	JAFJZO01	74
fLamInc1.hap2	GCF_029633865.1	GCA_029633865.1	Lampris incognitus	2546036					fLamInc1	male	GCF_029633865.1-RS_2023_05	Chromosome	2023-04-13	JARULE01	544
ASM1932006v1	GCF_019320065.1	GCA_019320065.1	Cervus canadensis	1574408					Bull #8, Minnesota	male	NCBI Cervus canadensis Annotation Release 100	Chromosome	2021-07-26	JACTMD01	185
LU_Lori_1.0	GCA_017916335.1	GCF_017916335.1	Leishmania orientalis	2249476					LSCM4		Annotation submitted by Lancaster University	Chromosome	2021-04-15	JAFHLR01	98
LU_Lori_1.0	GCF_017916335.1	GCA_017916335.1	Leishmania orientalis	2249476					LSCM4		Annotation submitted by Lancaster University	Chromosome	2021-04-15	JAFHLR01	98
UKY_Mglu_1.0	GCF_040869285.1	GCA_040869285.1	Myxine glutinosa	7769					MG_SS	hermaphrodite	GCF_040869285.1-RS_2024_08	Chromosome	2024-07-30	JBEBLH01	4269
LU_Lmar_1.0	GCA_017916325.1	GCF_017916325.1	Leishmania martiniquensis	1580590					LSCM1		Annotation submitted by Lancaster University	Chromosome	2021-04-15	JAFEUZ01	42
LU_Lmar_1.0	GCF_017916325.1	GCA_017916325.1	Leishmania martiniquensis	1580590					LSCM1		Annotation submitted by Lancaster University	Chromosome	2021-04-15	JAFEUZ01	42
crgOcupat	GCA_052425735.1	GCF_052425735.1	Oculina patagonica	130080					OP01		Annotation submitted by Centre for Genomic Regulation	Chromosome	2025-09-03	JBPAPT01	1951
crgOcupat	GCF_052425735.1	GCA_052425735.1	Oculina patagonica	130080					OP01		GCF_052425735.1-RS_2025_12	Chromosome	2025-09-03	JBPAPT01	1951
Cwil_1.0	GCA_041222665.1		Cyamophila willieti	2604842					Cailab_2024_CWIL	pooled male and female	Annotation submitted by China Agricultral University	Chromosome	2024-08-13	JBEUCC01	1652
tdTriSzid1.2	GCA_944472155.2		Trichobilharzia szidati	157070							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-15	CALYDE02	1277
LU_Lenr_1.0	GCA_017916305.1	GCF_017916305.1	Leishmania enriettii	5663					CUR178		Annotation submitted by Lancaster University	Chromosome	2021-04-15	JAFHKP01	54
LU_Lenr_1.0	GCF_017916305.1	GCA_017916305.1	Leishmania enriettii	5663					CUR178		Annotation submitted by Lancaster University	Chromosome	2021-04-15	JAFHKP01	54
Patl_V1	GCA_026229545.1		Pistacia atlantica	434234					c2T10	female	Annotation submitted by UC Davis Genome Center	Chromosome	2022-11-18	JAPEIT01	113
ASM4605639v1	GCA_046056395.1		Mugilogobius chulae	88201					JL-2024a		Annotation submitted by Guangdong Laboratory Animals Monitoring Institute	Chromosome	2024-12-17	JBIYSK01	732
BIME_Hyas_1.3	GCA_013339685.2		Hyalomma asiaticum	266040					Hyas-2018		Annotation submitted by TIGMIC Group	Chromosome	2020-06-16	JABSTT01	6319
SKAU_1.1	GCA_029718625.1		Synaphobranchus kaupii	118154				Taiwan	WJC10195		Annotation submitted by GenoFish	Chromosome	2023-04-14	JAINUF01	99
ooOscLobu1.1	GCF_947507565.1	GCA_947507565.1	Oscarella lobularis	121494							GCF_947507565.1-RS_2024_06	Chromosome	2022-12-06	CANNPT01	21
Udiv.v.3.1	GCF_026930045.1	GCA_026930045.1	Uloborus diversus	327109					005	female	GCF_026930045.1-RS_2023_03	Chromosome	2022-12-19	JANCTA01	1586
NIFS_Gcha_1.0	GCF_026213295.1	GCA_026213295.1	Gadus chalcogrammus	1042646					NIFS_2021	female	GCF_026213295.1-RS_2023_05	Chromosome	2022-11-18	JAHRIL01	167
CERZOS_EC1.0	GCA_007726485.1		Eragrostis curvula	38414			Victoria				Annotation submitted by CERZOS-CONICET	Chromosome	2019-08-05	RWGY01	1143
Tgel_1.0	GCF_003255815.1	GCA_003255815.1	Theropithecus gelada	9565					Dixy	female	NCBI Theropithecus gelada Annotation Release 100	Chromosome	2018-06-19	QGDE01	15307
txSymRosc1.1	GCF_963678635.1	GCA_963678635.1	Symsagittifera roscoffensis	84072							GCF_963678635.1-RS_2024_03	Chromosome	2023-12-07	CAVMBQ01	1170
UCB_Mmun_1.0	GCA_008782695.1		Muntiacus muntjak	9888					UTSW_UCB_Mm	female	Annotation submitted by University of California, Berkeley	Chromosome	2019-10-07	VCEA01	25651
APUR_v2.2.1	GCF_028453695.1	GCA_028453695.2	Augochlora pura	115077					Apur16	female	GCF_028453695.1-RS_2025_12	Chromosome	2023-02-07	JAQQRM01	8964
tdSchTurk1.2	GCA_944470395.2		Schistosoma turkestanicum	1163369							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-20	CALYCR02	3496
CU_Lasu_v2	GCA_015883425.2		Lamprotornis superbus	245042					SS15	female	Annotation submitted by Columbia University	Chromosome	2022-03-24	JADDUC02	2008
aPelCul1.1_chrom	GCA_933207985.1		Pelobates cultripes	61616							Annotation submitted by The Spanish National Research Council (CSIC)	Chromosome	2023-06-09	CAKOES02	3574
tdDicDend1.1c	GCA_944474145.2		Dicrocoelium dendriticum	57078							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-23	CALYDF02	19455
CheloAbing_2.0	GCF_003597395.2	GCA_003597395.2	Chelonoidis abingdonii	106734					Lonesome George	male	GCF_003597395.2-RS_2025_06	Chromosome	2025-04-29	PKMU02	3849
USASK_Mmel_1	GCA_042985785.1		Mimus melanotis	245851				San Cristobal Mockingbird, Galapagos Archipelago	SK5		Annotation submitted by University of Saskatchewan	Chromosome	2024-10-15	JAJEJJ01	40
PAHARI_EIJ_v1.1	GCF_900095145.1	GCA_900095145.2	Mus pahari	10093						female	NCBI Mus pahari Annotation Release 101	Chromosome	2017-04-28	FMBV02	2581
BlacSF5v2	GCA_004359215.2	GCF_004359215.1	Bremia lactucae	4779		SF5					Annotation submitted by UC Davis Genome Center	Chromosome	2021-08-20	SHOA02	220
BlacSF5v2	GCF_004359215.1	GCA_004359215.2	Bremia lactucae	4779		SF5					Annotation submitted by UC Davis Genome Center	Chromosome	2021-08-20	SHOA02	220
NemWhi1	GCF_014905685.2	GCA_014905685.2	Nematolebias whitei	451745					Nwh7	female	NCBI Nematolebias whitei Updated Annotation Release 100.20210725	Chromosome	2021-03-24	JAAMPK01	18998
ASM1367723v1	GCA_013677235.1		Gossypium klotzschianum	34286					57		Annotation submitted by Mississippi State University	Chromosome	2020-09-03	JABFAB01	316819
PitAlb_v1	GCF_047495875.1	GCA_047495875.1	Pithys albifrons albifrons	3385563					INPA30051		GCF_047495875.1-RS_2025_02	Chromosome	2025-02-07	JBJXCU01	53
iOsmBic2.1	GCF_907164935.1	GCA_907164935.1	Osmia bicornis bicornis	1437191							NCBI Osmia bicornis bicornis Annotation Release 101	Chromosome	2021-05-17	CAJRAL01	441
ASM83575v2	GCA_000835755.2	GCF_000835755.1	Cryptococcus tetragattii IND107	1296105		IND107					Annotation submitted by Broad Institute	Chromosome	2024-06-25	ATAM02	15
ASM83575v2	GCF_000835755.1	GCA_000835755.2	Cryptococcus tetragattii IND107	1296105		IND107					Annotation submitted by Broad Institute	Chromosome	2024-06-25	ATAM02	15
ASM27781v3	GCA_000277815.3	GCF_000277815.2	Encephalitozoon hellem ATCC 50504	907965		ATCC 50504					Annotation submitted by University of British Columbia	Chromosome	2012-07-16		12
ASM27781v3	GCF_000277815.2	GCA_000277815.3	Encephalitozoon hellem ATCC 50504	907965		ATCC 50504					Annotation submitted by University of British Columbia	Chromosome	2012-07-16		12
Ccitriodora_v2_1	GCA_014858505.1		Corymbia citriodora subsp. variegata	360336					CV2-018		Annotation submitted by DOE Joint Genome Institute	Chromosome	2020-10-21	JABURB01	15033
ASM1918654v1	GCF_019186545.1	GCA_019186545.1	Solanum stenotomum	172797					F172		NCBI Solanum stenotomum Annotation Release 100	Chromosome	2021-07-09	JAERIQ01	17083
PcynB_1.0	GCA_000321355.1	GCF_000321355.1	Plasmodium cynomolgi strain B	1120755		B					Annotation submitted by Osaka University	Chromosome	2012-06-07	BAEJ01	1663
PcynB_1.0	GCF_000321355.1	GCA_000321355.1	Plasmodium cynomolgi strain B	1120755		B					Annotation submitted by NCBI RefSeq	Chromosome	2012-06-07	BAEJ01	1663
bAmmMar1.pri	GCA_036010785.1		Ammospiza maritima maritima	3111550					bAmmMai1	female	GCA_036010785.1-GB_2025_08_28	Chromosome	2024-01-24	JAYKTQ01	500
CSIRO_AGI_Rlap_v1	GCF_046630445.1	GCA_046630445.1	Rutidosis leptorrhynchoides	125765					AG116_Rl617_1_P2		GCF_046630445.1-RS_2025_02	Chromosome	2025-01-15	JBITNF01	549
rHemCap1.1.pri	GCF_027244095.1	GCA_027244095.1	Hemicordylus capensis	884348				Gifberg		male	GCF_027244095.1-RS_2023_02	Chromosome	2022-12-28	JAPMAM01	44
O.geoffroyi_Oge1_pat1.0	GCF_018350155.1	GCA_018350155.1	Leopardus geoffroyi	46844					Oge1	male	NCBI Leopardus geoffroyi Annotation Release 100	Chromosome	2021-05-13	JAFEKB01	46
serow.2	GCF_032405125.1	GCA_032405125.2	Capricornis sumatraensis	34865					serow.1	pooled male and female	GCF_032405125.1-RS_2024_10	Chromosome	2024-03-13	JAXIOT01	158
Cpal_1	GCA_037953625.1		Crotalaria pallida	3830					ZHUSHIDOU_FW_LH		Annotation submitted by Agricultural Genomics Institute at Shenzhen,Chinese Academy of Agricultural Sciences	Chromosome	2024-04-04	JAYWIO01	187
Saponaria_officinalis_var_Norfolk2_v1.0	GCA_040167595.1		Saponaria officinalis	3572					JIC		Annotation submitted by John Innes Centre	Chromosome	2024-06-14	JBDFQZ01	129
OSU_ERuf_1	GCF_041146395.1	GCA_041146395.1	Eulemur rufifrons	859984					Redbay	female	GCF_041146395.1-RS_2024_10	Chromosome	2024-08-16	JBFNAD01	647
ASM4611911v1	GCA_046119115.1		Semiaphis heraclei	796293					she-1	female	Annotation submitted by institute of plant protection	Chromosome	2024-12-17	JBJGEC01	44
rNatDep2.hap1	GCA_965152275.1	GCF_965152275.1	Natator depressus	27790					rNatDep1		Annotation submitted by Vertebrate Genomes Project	Chromosome	2025-02-16	CBCUCI01	40
rNatDep2.hap1	GCF_965152275.1	GCA_965152275.1	Natator depressus	27790					rNatDep1		GCF_965152275.1-RS_2025_07	Chromosome	2025-02-16	CBCUCI01	40
mMolNig1.hap1	GCA_039880945.1		Molossus nigricans	2997257					mMolNig1	male	GCA_039880945.1-GB_2025_09_03	Chromosome	2024-05-29	JBDPII01	365
mCynVol1.pri	GCF_027409185.1	GCA_027409185.1	Cynocephalus volans	110931					mCynVol1	male	GCF_027409185.1-RS_2024_02	Chromosome	2022-12-28	JAPWCP01	130
aRanVar5.hap1	GCF_051348905.1	GCA_051348905.1	Ranitomeya variabilis	490064					aRanVar5	male	GCF_051348905.1-RS_2025_09	Chromosome	2025-07-15	JBPEMC01	286
Cadamanteus_3dDNAHiC_1.2	GCA_039797435.1		Crotalus adamanteus	8729					DRR0105	female	Annotation submitted by Florida State University	Chromosome	2024-05-24	JAOTOJ01	26
rLiaOli1.hap1	GCA_030867105.1		Liasis olivaceus	283338					rLiaOli1	female	GCA_030867105.1-GB_2025_12_04	Chromosome	2023-08-24	JAVFJL01	43
mPseCra1.hap1	GCF_039906515.1	GCA_039906515.1	Pseudorca crassidens	82174					mPseCra1	male	GCF_039906515.1-RS_2024_08	Chromosome	2024-05-31	JBDMAU01	438
CapIbe1.0	GCA_054642885.1		Capra ibex	72542					Odissea	female	Annotation submitted by Istituto Italiano di Tecnologia	Chromosome	2026-01-07	JBIMMJ01	1037
VMU_Caureus_v.1.0	GCF_053574225.1	GCA_053574225.1	Canis aureus	68724					CA01	male	GCF_053574225.1-RS_2025_12	Chromosome	2025-11-21	JBPVXR01	306
rCanAsp1.hap2	GCF_035149785.1	GCA_035149785.1	Candoia aspera	51853					rCanAsp1	female	GCF_035149785.1-RS_2024_02	Chromosome	2024-01-18	JAYKKZ01	149
AdamAnt_v2	GCF_016432865.1	GCA_016432865.2	Antechinus flavipes	38775				Samford, QLD, Australia	AdamAnt	male	GCF_016432865.1-RS_2023_02	Chromosome	2021-01-06	JADWMD01	485
mMesDen1 primary haplotype	GCF_025265405.1	GCA_025265405.1	Mesoplodon densirostris	48708					mMesDen1	male	GCF_025265405.1-RS_2023_10	Chromosome	2022-09-19	JANXIL01	73
rVipLat1.pri	GCA_024294585.1		Vipera latastei	246179					rVipLat1	male	GCA_024294585.1-GB_2025_08_27	Chromosome	2022-07-20	JANCQY01	56
RoL_Nlum_v2.1	GCF_033978685.3	GCA_033978685.3	Nerophis lumbriciformis	546530							GCF_033978685.3-RS_2025_04	Chromosome	2025-02-19	JAWMBG02	230
mTenEca1.hap1	GCF_050624435.1	GCA_050624435.1	Tenrec ecaudatus	94439					mTenEca1	male	GCF_050624435.1-RS_2025_07	Chromosome	2025-05-30	JBNYUK01	2180
iqSchSeri2.2	GCF_023864345.2	GCA_023864345.3	Schistocerca serialis cubense	2023355					TAMUIC-IGC-003099	female	NCBI Schistocerca serialis cubense Annotation Release 100	Chromosome	2022-06-28	JAMRYF01	1454
mCteGun2.hap1	GCA_048771875.1		Ctenodactylus gundi	10166					mCteGun2	female	GCA_048771875.1-GB_2025_08_12	Chromosome	2025-03-21	JBMERT01	535
mBalRic1.hap2	GCF_028023285.1	GCA_028023285.1	Balaenoptera ricei	2746895					mBalRic1	female	GCF_028023285.1-RS_2023_09	Chromosome	2023-01-30	JAQMGZ01	774
ZSTU_Gsto	GCA_020496765.1		Gossypium stocksii	47602				E1			Annotation submitted by zstu	Chromosome	2021-10-14	JAIQCV01	127
ddMerAnnu1.2	GCF_937616625.2	GCA_937616625.2	Mercurialis annua	3986							GCF_937616625.2-RS_2023_05	Chromosome	2022-10-31	CALLYH02	63
RGv1.1	GCA_018127125.1		Rhododendron griersonianum	479676					WSP0		Annotation submitted by Ori-Gene Co. Ltd.	Chromosome	2021-04-23	JACTNZ01	46
ASM5058044v1	GCF_050580445.1	GCA_050580445.1	Brevipalpus obovatus	246614					LL-2025a		GCF_050580445.1-RS_2025_06	Chromosome	2025-05-27	JBNXMT01	4
ASM2355843v2	GCF_023558435.1	GCA_023558435.2	Drosophila sulfurigaster albostrigata	89887		15112-1811.04				female	GCF_023558435.1-RS_2024_01	Chromosome	2022-05-31	JAJOLL01	92
mChiNiv1.1	GCF_950005125.1	GCA_950005125.1	Chionomys nivalis	269649							GCF_950005125.1-RS_2023_06	Chromosome	2023-05-01	CATLKQ01	160
ASM5162203v2	GCF_051622035.1	GCA_051622035.2	Arctopsyche grandis	121162					Sample6627		GCF_051622035.1-RS_2025_09	Chromosome	2025-07-30	JBNTRD01	189
iqSchPice1.1	GCF_021461385.2	GCA_021461385.2	Schistocerca piceifrons	274613					TAMUIC-IGC-003096	female	NCBI Schistocerca piceifrons Annotation Release 100	Chromosome	2022-02-14	JAJNAD01	2492
rEulEur1.hap1	GCF_029931775.1	GCA_029931775.1	Euleptes europaea	460621					rEulEur1	male	GCF_029931775.1-RS_2023_06	Chromosome	2023-05-15	JARABC01	591
fMegCyp1.pri	GCF_013368585.1	GCA_013368585.1	Megalops cyprinoides	118141					fMegCyp1		NCBI Megalops cyprinoides Annotation Release 100	Chromosome	2020-06-23	JABWDM01	206
RoL_Ddac_1.1	GCF_027744805.1	GCA_027744805.2	Dunckerocampus dactyliophorus	161453					RoL2022-P2	male	GCF_027744805.1-RS_2023_03	Chromosome	2023-01-13	JAPTFN01	157
bMorGui1 haplotype 2	GCA_045345515.1		Morphnus guianensis	252789					bMorGui1	female	GCA_045345515.1-GB_2025_12_03	Chromosome	2024-12-02	JBIYQY01	544
RoL_Sspl_1.0	GCF_027744825.2	GCA_027744825.1	Synchiropus splendidus	270530					RoL2022-P1	male	GCF_027744825.2-RS_2023_02	Chromosome	2023-01-13	JAPTFM01	96
fChaAug3.hap1	GCF_051107435.1	GCA_051107435.1	Chaetodon auriga	39042					fChaAug3	male	GCF_051107435.1-RS_2025_09	Chromosome	2025-06-26	JBONTN01	187
mTriInu1 haplotype 2	GCA_046562895.1		Trichechus inunguis	9777					mTriInu1	male	GCA_046562895.1-GB_2025_09_06	Chromosome	2025-01-08	JBKGUF01	401
iyColLati1	GCF_051014445.1	GCA_051014445.1	Colletes latitarsis	2605962					SP2378_abdomen	male	GCF_051014445.1-RS_2025_09	Chromosome	2025-06-20	JBHHFT01	191
sMobHyp1.1	GCF_963921235.1	GCA_963921235.1	Mobula hypostoma	723540							GCF_963921235.1-RS_2024_02	Chromosome	2024-01-06	CAWUEV01	200
