Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_034768735.1	ASM3476873v1	Schistosoma mekongi	38744					LV_2022a		Annotation submitted by Sun Yat-sen University	Chromosome	2023-12-29	JALJAT01	1279
GCF_051014685.1	iyPtiAriz1_principal	Ptiloglossa arizonensis	3350558					GNS036	female	GCF_051014685.1-RS_2025_08	Chromosome	2025-06-20	JBJILQ01	2017
GCF_036669935.1	ASM3666993v2	Montipora foliosa	591990					CH-2021		GCF_036669935.1-RS_2024_09	Chromosome	2024-08-23	JAJTOQ02	466
GCF_011750605.1	ASM1175060v1	Drosophila busckii	30019		San Diego stock center, stock number 13000-0081.31				pooled male and female	NCBI Drosophila busckii Annotation Release 101	Chromosome	2020-03-26	DULD01	94
GCF_024586455.1	APGP_CSIRO_Bneo_wtdbg2-racon-allhic-juicebox.fasta_v2	Bactrocera neohumeralis	98809					Rockhampton		NCBI Bactrocera neohumeralis Annotation Release 100	Chromosome	2022-08-09	JAMJQZ01	5158
GCA_028583405.1	KU_S6	Pogonophryne albipinna	1090488					SGF0006		Annotation submitted by Korea University	Chromosome	2023-02-10	JAPTMU01	1111
GCF_036669925.1	ASM3666992v2	Montipora capricornis	246305					CH-2021		GCF_036669925.1-RS_2024_09	Chromosome	2024-08-23	JAJTOP02	442
GCA_029465975.1	DPEC_1.1	Dallia pectoralis	75939				Alaska	YG-Jan2019	female	Annotation submitted by GenoFish	Chromosome	2023-03-31	JAHKKI01	1317
GCF_014825855.1	ASM1482585v1	Bombus pyrosoma	396416					SC7728		NCBI Bombus pyrosoma Annotation Release 100	Chromosome	2020-10-02	JACXIN01	4727
GCA_020080835.1	MPM_Cglom_v2.3	Cotesia glomerata	32391					CgM1	male	Annotation submitted by Milwaukee Public Museum	Chromosome	2021-09-24	JAHXZJ01	3354
GCF_020080835.1	MPM_Cglom_v2.3	Cotesia glomerata	32391					CgM1	male	NCBI Cotesia glomerata Annotation Release 100	Chromosome	2021-09-24	JAHXZJ01	3354
GCF_902827115.2	fPseGeo1.2	Pseudochaenichthys georgianus	52239							GCF_902827115.2-RS_2025_01	Chromosome	2022-11-04	CADEHP02	1562
GCF_029867415.1	Vvil1.0	Vicia villosa	3911			HV-30	Madison, WI			GCF_029867415.1-RS_2023_08	Chromosome	2023-04-26	JAROZA01	1888
GCF_029784155.1	ASM2978415v1	Uranotaenia lowii	190385		MFRU-FL				male	GCF_029784155.1-RS_2023_04	Chromosome	2023-04-19	JARQTL01	2014
GCA_900005765.1	PRELSG	Plasmodium relictum	85471		SGS1					Annotation submitted by WTSI	Chromosome	2016-11-17	CVMU01	512
GCF_900005765.1	PRELSG	Plasmodium relictum	85471		SGS1					Annotation submitted by WTSI	Chromosome	2016-11-17	CVMU01	512
GCF_030848805.1	Tlon_JGU_v1	Temnothorax longispinosus	300112					EJ_2023e		GCF_030848805.1-RS_2025_02	Chromosome	2024-12-23	JASTWN02	1415
GCF_006345805.1	ASM634580v1	Octopus sinensis	2607531							NCBI Octopus sinensis Annotation Release 101	Chromosome	2019-06-17	VCDQ01	13515
GCF_040956055.1	CSIRO-AGI_Bhir_v1	Brachionichthys hirsutus	412623					HB-005		GCF_040956055.1-RS_2024_09	Chromosome	2024-07-30	JBFRBS01	1370
GCF_963692335.1	fOsmEpe2.1	Osmerus eperlanus	29151							GCF_963692335.1-RS_2024_01	Chromosome	2023-12-11	CAVNYC01	1007
GCA_024868665.2	Trosa_1v2	Triplophysa rosa	992332						female	Annotation submitted by the National Natural Science Foundation of China	Chromosome	2022-09-14	JAFHDT01	1038
GCF_024868665.1	Trosa_1v2	Triplophysa rosa	992332						female	GCF_024868665.1-RS_2023_06	Chromosome	2022-09-14	JAFHDT01	1038
GCA_029204005.1	ASM2920400v1	Salix udensis	889485			04-BN-051			male	Annotation submitted by Cornell University	Chromosome	2023-03-14	JAPFFJ01	1157
GCF_943734635.1	idAnoCruzAS_RS32_06	Anopheles cruzii	68878							GCF_943734635.1-RS_2023_02	Chromosome	2022-06-24	CALSDP01	5088
GCA_043235775.1	ASM4323577v1	Abeliophyllum distichum	126358					KNKB198505000391		Annotation submitted by Myongji University	Chromosome	2024-10-16	JBFOLK01	879
GCA_029228605.1	ASM2922860v1	Salix koriyanagi	2511006			SH3			female	Annotation submitted by Cornell University	Chromosome	2023-03-20	JAPFFM01	1914
GCA_010411085.1	CEY_v1	Cervus hanglu yarkandensis	84702					CEY-2017	male	Annotation submitted by Institute of Special Wild Economic Animals and Plants, Chinese Academy of Agricultural Sciences	Chromosome	2020-02-12	WMHW01	17927
GCF_943735745.2	idAnoBellAS_SP24_06.2	Anopheles bellator	139047							GCF_943735745.2-RS_2023_07	Chromosome	2023-04-08	CALSEL02	2985
GCA_000280035.2	ASM28003v2	Encephalitozoon romaleae SJ-2008	1178016		SJ-2008					Annotation submitted by University of Ottawa	Chromosome	2012-07-19		13
GCF_000280035.1	ASM28003v2	Encephalitozoon romaleae SJ-2008	1178016		SJ-2008					Annotation submitted by University of Ottawa	Chromosome	2012-07-19		13
GCA_014858505.1	Ccitriodora_v2_1	Corymbia citriodora subsp. variegata	360336					CV2-018		Annotation submitted by DOE Joint Genome Institute	Chromosome	2020-10-21	JABURB01	15033
GCF_964194025.1	txConMacr16.3	Convolutriloba macropyga	536237							GCF_964194025.1-RS_2025_07	Chromosome	2025-07-07	CAXMKX03	4694
GCF_002201575.2	ASM220157v2	Neomonachus schauinslandi	29088						male	NCBI Neomonachus schauinslandi Annotation Release 101	Chromosome	2021-10-20	NINY02	8094
GCA_029228515.1	Populus_alba_x_berolinensis.Group_A.v1.2	Populus alba x Populus x berolinensis	444605					SC-2020		Annotation submitted by Northeast Forestry University	Chromosome	2023-03-20	JAQIZT01	1960
GCF_011077185.1	BPBGC_Ojam_1.0	Oxyura jamaicensis	8884	ruddy duck				SHBP4307	female	NCBI Oxyura jamaicensis Annotation Release 100	Chromosome	2020-03-10	JAACYN01	9642
GCA_006937295.1	ASM693729v1	Carpinus fangiana	176857					Cfa_2016G		Annotation submitted by Lanzhou University	Chromosome	2019-07-29	VIBQ01	4602
GCA_964260565.1	borsaiasm	Boreogadus saida	44932							Annotation submitted by Earth Biogenome Project Norway	Chromosome	2024-09-06	CAXVOH01	2296
GCF_026283585.1	UHH_iyHylVolc1.0_haploid	Hylaeus volcanicus	313075					JK05	male	GCF_026283585.1-RS_2023_03	Chromosome	2022-11-22	JANILQ01	1869
GCF_002776525.5	ASM277652v5	Piliocolobus tephrosceles	591936					RC106	male	NCBI Piliocolobus tephrosceles Annotation Release 102	Chromosome	2019-12-12	PDMG03	32287
GCF_019175285.1	SceUnd_v1.1	Sceloporus undulatus	8520				Alabama	JIND9_A2432	male	NCBI Sceloporus undulatus Annotation Release 100	Chromosome	2021-07-08	JAGXEY01	45012
GCF_029784015.1	AGI_CSIRO_Lferr_CH_V1	Lycium ferocissimum	112874					CSIRO_LF1		GCF_029784015.1-RS_2023_09	Chromosome	2023-04-18	JARBDQ01	14905
GCF_013103735.1	CSU_Ecrag_1.0	Etheostoma cragini	417921					CJK2018		NCBI Etheostoma cragini Annotation Release 100	Chromosome	2020-05-15	JAAVJE01	4664
GCF_012273895.1	Zerene_cesonia_1.1	Zerene cesonia	33412				Mississippi		female	NCBI Zerene cesonia Annotation Release 100	Chromosome	2020-10-02	JAAMXH01	275
GCA_026184515.1	PsorP6_UCD_v1	Peronosclerospora sorghi	230839					P6		Annotation submitted by UC Davis Genome Center	Chromosome	2022-11-15	JAPDHQ01	6744
GCA_022758105.1	PGIGA_1.1	Pangasianodon gigas	30993					YG-Dec2019	male	Annotation submitted by GenoFish	Chromosome	2022-03-30	JAKMWG01	239242
GCF_900094665.2	CAROLI_EIJ_v1.1	Mus caroli	10089						female	NCBI Mus caroli Annotation Release 101	Chromosome	2017-04-28	FMAL02	3077
GCF_008632895.1	UCSF_Mcou_1	Mastomys coucha	35658					ucsf_1	male	NCBI Mastomys coucha Annotation Release 100	Chromosome	2019-09-24	VSBT01	27
GCA_008692095.1	UIUC_Espe_1.0	Etheostoma spectabile	54343					EspeVRDwgs_2016	male	Annotation submitted by University of Illinois at Urbana-Champaign	Chromosome	2019-10-07	VOFY01	3118
GCF_008692095.1	UIUC_Espe_1.0	Etheostoma spectabile	54343					EspeVRDwgs_2016	male	GCF_008692095.1-RS_2025_06	Chromosome	2019-10-07	VOFY01	3118
GCF_010883055.1	B_treatae_v1	Belonocnema kinseyi	2817044					2016_QV_RU_SX_M_011	male	NCBI Belonocnema kinseyi Updated Annotation Release 100.20220217	Chromosome	2020-02-21	JAAEHM01	5520
GCA_001602025.1	ASM160202v1	Plasmodium gaboni	647221		SY75					Annotation submitted by UPENNBL	Chromosome	2016-04-08	LVLB01	832
GCF_001602025.1	ASM160202v1	Plasmodium gaboni	647221		SY75					Annotation submitted by NCBI RefSeq	Chromosome	2016-04-08	LVLB01	832
GCA_009746105.1	ASM974610v1	Rhododendron williamsianum	262921					RSF 1966-606		Annotation submitted by University of Washington	Chromosome	2019-12-13	QEFC01	11985
GCA_013677245.1	ASM1367724v1	Gossypium davidsonii	34287					27		Annotation submitted by Mississippi State University	Chromosome	2020-09-03	JABFAC01	314795
GCA_013677255.1	ASM1367725v1	Gossypium harknessii	34285					0		Annotation submitted by Mississippi State University	Chromosome	2020-09-03	JABFAD01	373839
GCA_040182985.1	ASM4018298v1	Lithocarpus litseifolius	425828					Zhou-2022a		Annotation submitted by Institute of Chinese Materia Medica, China Academy of Chinese Medicine Sciences	Chromosome	2024-06-14	JAZDWU01	322
GCF_023898315.1	iqSchNite1.1	Schistocerca nitens	7011					TAMUIC-IGC-003100	female	NCBI Schistocerca nitens Annotation Release 100	Chromosome	2022-06-28	JAMRYH01	511
GCF_023864275.1	iqSchCanc2.1	Schistocerca cancellata	274614					TAMUIC-IGC-003103	female	NCBI Schistocerca cancellata Annotation Release 100	Chromosome	2022-06-28	JAMRYG01	1107
GCF_030265065.1	ASM3026506v1	Corythoichthys intestinalis	161448					RoL2023-P3	male	GCF_030265065.1-RS_2024_05	Chromosome	2023-06-20	JAQPVN01	109
GCF_023864345.2	iqSchSeri2.2	Schistocerca serialis cubense	2023355					TAMUIC-IGC-003099	female	NCBI Schistocerca serialis cubense Annotation Release 100	Chromosome	2022-06-28	JAMRYF01	1454
GCA_039657365.1	ASM3965736v1	Stephania yunnanensis	152371					YNDBR		Annotation submitted by Chengdu University of Traditional Chinese Medicine	Chromosome	2024-05-17	JBBNAF01	61
GCF_036321145.2	Pm_UMD_F_2	Pelmatolapia mariae	158779					MD_Pm_ZW	female	GCF_036321145.2-RS_2024_05	Chromosome	2024-04-17	JAWPEK02	791
GCA_949775105.1	Ocorymbosa-M15.v1	Oldenlandia corymbosa var. corymbosa	529605							Annotation submitted by nanyang technological university	Chromosome	2023-04-07	CATKSE01	10
GCA_037954105.1	Cgla_1	Canavalia gladiata	3824					LVBAO_FW01		Annotation submitted by Agricultural Genomics Institute at Shenzhen	Chromosome	2024-04-04	JAYMYQ01	102
GCF_021461385.2	iqSchPice1.1	Schistocerca piceifrons	274613					TAMUIC-IGC-003096	female	NCBI Schistocerca piceifrons Annotation Release 100	Chromosome	2022-02-14	JAJNAD01	2492
GCA_029692085.1	GJAV_1.0	Gymnothorax javanicus	473457					Gymjav_1		Annotation submitted by GenoFish	Chromosome	2023-04-12	JAFJMP01	469
GCA_040893045.1	Dmadeirensis_assembly01	Drosophila madeirensis	30013		RF1					Annotation submitted by Neuro-ICT Laboratory, Advanced ICT Research Institute, National Institute of Information and Communications Technology	Chromosome	2024-03-07		111
GCA_027725995.1	MPIPZ_rhyTen1m_1	Rhynchospora tenuis	198213					rhyTen1mFocal		Annotation submitted by Max-Planck institute for plant breeding research	Chromosome	2023-01-12	JAMRDG01	1635
GCA_030848705.1	IITP_Hsosn_ver7	Heracleum sosnowskyi	360622					Hsosn_3		Annotation submitted by Institute for Information Transmission Problems	Chromosome	2023-08-22	JAUIZM01	383
GCF_025434085.1	ASM2543408v3	Hippocampus zosterae	109293		Florida				male	GCF_025434085.1-RS_2023_02	Chromosome	2022-09-29	JANTIC01	212
GCA_039657345.1	ASM3965734v1	Stephania japonica	461633					QJT		Annotation submitted by Chengdu University of Traditional Chinese Medicine	Chromosome	2024-05-17	JBBNAE01	50
GCA_049309505.1	ASM4930950v1	Ranunculus cassubicifolius	286882					LH040/02+05+06	hermaphrodite	Annotation submitted by University of Goettingen	Chromosome	2025-04-05	JBLBUF01	320
GCA_962446985.1	fXyrNov1.1	Xyrichtys novacula	13765							Annotation submitted by IMEDEA	Chromosome	2023-08-19	CAUIWU01	31
GCF_019802595.1	ASM1980259v1	Syngnathoides biaculeatus	300417					LvHL_M	male	GCF_019802595.1-RS_2023_12	Chromosome	2021-09-09	JADLZI01	142
GCA_963693515.1	mPipNat.pri	Pipistrellus nathusii	59473							Annotation submitted by Leibniz Institute for Zoo and Wildlife Research	Chromosome	2024-02-07	CAVNZX01	153
GCA_022829145.1	AGOR_1.0	Albula goreensis	1534307				Florida			Annotation submitted by GenoFish	Chromosome	2022-04-08	JAERUA01	471
GCA_040954505.1	ASM4095450v1	Ranatra chinensis	642074					cailab_2021Rc		Annotation submitted by China Agricultural University	Chromosome	2024-08-01	JBFDAA01	151
GCA_040437455.1	PleCup_hybrid	Plecturocebus cupreus	202457					I1	male	Annotation submitted by Arizona State University	Chromosome	2024-07-02	JBDJOS01	1288
GCF_021155765.1	iyDipSimi1.1	Diprion similis	362088					iyDipSimi1	male	NCBI Diprion similis Annotation Release 100	Chromosome	2021-12-10	JAJNQI01	81
GCA_039657385.1	ASM3965738v1	Citrus x changshan-huyou	2935761					01-14		Annotation submitted by Zhejiang University	Chromosome	2024-05-17	JBCGBO01	26
GCF_021155785.1	iyNeoFabr1.1	Neodiprion fabricii	2872261					iyNeoFabr1	male	NCBI Neodiprion fabricii Annotation Release 100	Chromosome	2021-12-10	JAJNQJ01	72
GCA_028095005.1	MPIPZ_rhyPub2m_2.0	Rhynchospora pubera	906938					rhyPub2mFocal		Annotation submitted by Max-Planck institute for plant breeding research	Chromosome	2023-01-31	JAMFTS01	8494
GCA_964267205.1	drPruBrig1.1	Prunus brigantina	151428							Annotation submitted by Genoscope CEA	Chromosome	2024-09-28	CAXWIA01	69
GCA_964030455.1	Ltrigynum_genome	Linum trigynum	586398							Annotation submitted by Stockholm University	Chromosome	2024-05-04	CAXIPQ01	15
GCA_944470415.2	tdSchRodh1.2	Schistosoma rodhaini	6188							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-20	CALYCS02	90
GCA_965153455.1	csSphComp1.1	Sphagnum compactum	128190							Annotation submitted by ELIXIR Norway	Chromosome	2025-03-01	CBCUET01	700
GCF_021901495.1	iyNeoVirg1.1	Neodiprion virginianus	2961670					iyNeoVirg1	male	GCF_021901495.1-RS_2023_11	Chromosome	2022-02-03	JAJNQL01	47
GCA_051903775.1	MPM_Gkuhli_v0.4	Gekko kuhli	1118402						female	Annotation submitted by Milwaukee Public Museum	Chromosome	2025-08-08	JAIFHB01	109
GCA_921882275.1	SP_BI_364.v2_0	Brenthis ino	405034							Annotation submitted by UNIVERSITY OF EDINBURGH	Chromosome	2021-12-19	CAKLHF01	36
GCF_021028975.2	MPM_Stown_v2.3	Sphaerodactylus townsendi	933632					TG3544	male	NCBI Sphaerodactylus townsendi Annotation Release 100	Chromosome	2022-04-08	JAHVXK02	1742
GCA_051530055.1	ASM5153005v1	Neoechinorhynchus agilis	2593365					BDHH2020		Annotation submitted by Universite Libre de Bruxelles	Chromosome	2025-07-24	JBMGUZ01	102
GCA_965153435.1	csSphBalt1.1	Sphagnum balticum	128184							Annotation submitted by ELIXIR Norway	Chromosome	2025-03-01	CBCUEQ01	1952
GCF_030247185.1	Malgen_1.1	Malaya genurostris	325434		Urasoe2022				male	GCF_030247185.1-RS_2023_07	Chromosome	2023-07-10	JASDBK02	151
GCA_964014455.1	csSphJens1.h2.1	Sphagnum jensenii	128206							Annotation submitted by ELIXIR Norway	Chromosome	2024-06-18	CAXHBF01	630
GCA_029851415.1	Ehay_zju_1.0	Eretmocerus hayati	131215					ZJU_SS_LIU_2023	male	Annotation submitted by Zhejiang University	Chromosome	2023-04-21	JARUXH01	17
GCA_963970355.1	csSphTroe1.h2.1	Sphagnum troendelagicum	128251							Annotation submitted by ELIXIR Norway	Chromosome	2024-06-18	CAXANX01	63
GCA_944470205.2	tdSchMarg1.2	Schistosoma margrebowiei	48269							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-20	CALYCG02	35
GCA_051938815.1	ASM5193881v1	Gaeumannomyces hyphopodioides	1940676		Gh-1B17					Annotation submitted by Designing Future Wheat	Chromosome	2025-08-12	JBNOKG01	62
GCA_902729315.2	Spirodela_intermedia_8410_2	Spirodela intermedia	51605							Annotation submitted by Leibniz Institute of Plant Genetics and Crop Plant Research	Chromosome	2020-11-02	CACVBZ02	70
GCA_030435675.2	Sherm_1.1	Steinernema hermaphroditum	289476		PS9179				hermaphrodite	Annotation submitted by Cornell University	Chromosome	2023-07-13	JAUCMV01	88
GCA_907164645.1	Colias_eurytheme	Colias eurytheme	42296							Annotation submitted by Stockholm University	Chromosome	2023-05-19	CAJQZL01	108
GCA_033220425.1	Lene_EWU_01	Lepraria neglecta	209136					Allen 5258		Annotation submitted by Eastern Washington University	Chromosome	2023-11-03	JASNWA01	11
GCA_944470555.2	tdHetHame2.2	Heterobilharzia americana	39320							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-20	CALYCZ02	393
GCA_051938895.1	ASM5193889v1	Gaeumannomyces avenae	36778		Ga-CB1					Annotation submitted by Designing Future Wheat	Chromosome	2025-08-12	JBNOKI01	33
GCF_033978795.1	RoL_Noph_v1.0	Nerophis ophidion	159077					RoL-2023_Sa	male	GCF_033978795.1-RS_2023_12	Chromosome	2023-12-01	JAWNBE01	473
GCA_035222485.1	CBS124.78p_1.0	Podospora pseudoanserina	2609844		CBS 124.78					Annotation submitted by Uppsala University	Chromosome	2024-01-12	JAFFHC01	9
GCF_035222485.1	CBS124.78p_1.0	Podospora pseudoanserina	2609844		CBS 124.78					Annotation submitted by Uppsala University	Chromosome	2024-01-12	JAFFHC01	9
GCA_964197705.1	Pfluo_KMR99	Penicillium psychrofluorescens	3158075					KMR99		Annotation submitted by THE UNIVERSITY OF NEW SOUTH WALES	Chromosome	2025-01-17	CAXMXA01	8
GCF_964197705.1	Pfluo_KMR99	Penicillium psychrofluorescens	3158075					KMR99		Annotation submitted by THE UNIVERSITY OF NEW SOUTH WALES	Chromosome	2025-01-17	CAXMXA01	8
GCF_029220125.1	NWPU_hadal_v1	Pseudoliparis swirei	2059687				Mariana Trench	HS2019		GCF_029220125.1-RS_2023_05	Chromosome	2023-03-16	JANBZZ01	199
GCA_025433545.1	ASM2543354v1	Fusarium keratoplasticum	1328300					Fu6.1		Annotation submitted by Academia Sinica	Chromosome	2022-10-03	JANGXZ01	25
GCF_025433545.1	ASM2543354v1	Fusarium keratoplasticum	1328300					Fu6.1		Annotation submitted by Academia Sinica	Chromosome	2022-10-03	JANGXZ01	25
GCA_022379115.2	ASM2237911v2	Bauhinia variegata	167791					BV-YZ2020		Annotation submitted by Sun Yat-sen University	Chromosome	2022-06-06	JAKRYI02	410
GCA_035222375.1	CBS415.72m_1.0	Podospora pseudocomata	2093779		CBS 415.72m					Annotation submitted by Uppsala University	Chromosome	2024-01-12	JAFFHA01	9
GCF_035222375.1	CBS415.72m_1.0	Podospora pseudocomata	2093779		CBS 415.72m					Annotation submitted by Uppsala University	Chromosome	2024-01-12	JAFFHA01	9
GCA_944470375.2	tdSchGuin1.2	Schistosoma guineensis	393876							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-15	CALYCN02	74
GCF_039881205.1	ESF131.1	Euwallacea similis	1736056					ESF13	female	GCF_039881205.1-RS_2024_07	Chromosome	2024-05-29	JBBMRO01	128
GCA_946903255.1	tdSchSpin1.1b	Schistosoma spindalis	6189							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-22	CAMPQF01	112
GCF_029784135.1	ASM2978413v1	Toxorhynchites rutilus septentrionalis	329112		SRP				male	GCF_029784135.1-RS_2023_04	Chromosome	2023-04-19	JARQTM01	519
GCA_008638375.1	ASM863837v1	Nyssa sinensis	561372					J267		Annotation submitted by Nyssa sinensis	Chromosome	2019-09-24	VIRR01	654
GCA_917834065.1	PGI_CEUTPL_v4	Ceutorhynchus assimilis	467358							Annotation submitted by ROTHAMSTED RESEARCH	Chromosome	2022-07-12	CAKJTU04	44
GCA_046254845.1	UofSC_Psma_1	Penstemon smallii	265156					WTNN_2		Annotation submitted by University of South Carolina	Chromosome	2024-12-23	JBJXBP01	939
GCA_007844105.2	ASM784410v2	Rhamnella rubrinervis	2594499				Xishuangbanna	BYM		Annotation submitted by Lanzhou University	Chromosome	2020-03-20	VOIH02	104
GCF_004354385.1	UK_Dinn_1.0	Drosophila innubila	198719					TH190305	female	NCBI Drosophila innubila Annotation Release 100	Chromosome	2019-03-19	SKCT01	363
GCA_051903795.1	ASM5190379v1	Mikania cordata	207834					Mcor-tissue_culture-TW01		Annotation submitted by Sun Yat-sen University	Chromosome	2025-08-08	JAWVAW01	239
GCA_965212315.1	kcLamPlan1.2.h2	Lampetra planeri	7750							Annotation submitted by ELIXIR Norway	Chromosome	2025-03-20	CBDBYP01	2193
GCA_944470365.2	tdSchInte1.2	Schistosoma intercalatum	6187							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-20	CALYCO02	298
GCF_030247195.1	ASM3024719v1	Topomyia yanbarensis	2498891		Yona2022				male	GCF_030247195.1-RS_2023_08	Chromosome	2023-06-12	JASDBJ01	1046
GCA_944474815.3	tdSchCurr1.1a	Schistosoma curassoni	6186							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-16	CALYDH03	369
GCA_036324585.1	JC_Ceso_ftc_fv8	Champsocephalus esox	159716				secondarily temperate	JC2023a	male	Annotation submitted by University of Illinois at Urbana-Champaign	Chromosome	2024-02-01	JAULUE01	2069
GCA_006247105.1	UU_GM_1.1	Giardia muris	5742		Roberts-Thomson					Annotation submitted by Uppsala University	Chromosome	2019-07-03	VDLU01	59
GCA_900090045.1	PmUG01	Plasmodium malariae	5858							Annotation submitted by WTSI	Chromosome	2016-12-13	FLRL01	61
GCF_900090045.1	PmUG01	Plasmodium malariae	5858							Annotation submitted by WTSI	Chromosome	2016-12-13	FLRL01	61
GCA_944470405.2	tdSchMatt1.2	Schistosoma mattheei	31246							Annotation submitted by WELLCOME SANGER INSTITUTE	Chromosome	2022-09-20	CALYCQ02	97
GCA_026225825.1	Pint_V1	Pistacia integerrima	434235					c1T6	male	Annotation submitted by UC Davis Genome Center	Chromosome	2022-11-18	JAPDOA01	33
GCA_964270275.1	MABAN_v1	Musa banksii	213591							Annotation submitted by Genoscope	Chromosome	2024-09-28	CAXWQO01	13
GCA_947686815.1	rPodLil1.2	Podarcis lilfordi	74358							Annotation submitted by UB (Universitat de Barcelona)	Chromosome	2023-08-09	CANTUW01	2148
GCA_918026665.1	PGI_DIABBA_v3	Diabrotica balteata	107213							Annotation submitted by ROTHAMSTED RESEARCH	Chromosome	2022-07-12	CAKJVB03	407
GCA_004026145.2	XU_Tbim_1.0	Takifugu bimaculatus	433685					TB-2018	female	Annotation submitted by College of Ocean and Earth Sciences, Xiamen University	Chromosome	2019-06-21	SWLE01	1158
GCA_927349885.1	PGI_PSYICH_v2	Psylliodes chrysocephalus	3402493							Annotation submitted by ROTHAMSTED RESEARCH	Chromosome	2022-07-01	CAKMHV01	32
GCA_051861665.1	AOLI_1.1	Acnodon oligacanthus	446776				Maroni River			Annotation submitted by INRAE (Fish Physiology and Genomics laboratory)	Chromosome	2025-08-07	JAULLB01	485
GCA_018691285.1	UNAM_Csor_1.0	Cucurbita argyrosperma subsp. sororia	37648					JBR-2021		Annotation submitted by Instituto de Ecologia, UNAM	Chromosome	2021-06-03	JAGKQH01	69
GCA_900074745.1	LAMI0	Lachancea mirantina	1230905							Annotation submitted by INRA UMR 1319	Chromosome	2016-10-25	FJUN01	8
GCA_050437125.1	ASM5043712v1	Cataglyphis niger	72791					EP-2025b	male	Annotation submitted by University of Haifa	Chromosome	2025-05-19	JBNCKD01	1449
GCA_043237855.1	ASM4323785v1	Forsythia ovata	205694					KNKB202402200001		Annotation submitted by Myongji University	Chromosome	2024-10-16	JBFOLJ01	145
GCA_019343175.1	Ogib_1.0	Oedothorax gibbosus	931172					W744_W776		Annotation submitted by Royal Belgian Institute of Natural Sciences	Chromosome	2021-08-05	JAFNEN01	7802
GCA_020631695.1	ASM2063169v1	Trichoderma cornu-damae	654480		KA19-0412C					Annotation submitted by Korea National Arboretum	Chromosome	2021-10-27	JAIWOZ01	59
GCA_039583875.1	PGUA_v1.0	Platanthera guangdongensis	2320717					Lor288		Annotation submitted by Fujian Agriculture and Forestry University	Chromosome	2024-05-16	JBBWWR01	274
GCA_051861685.1	SRHO_1.1	Serrasalmus rhombeus	138556				Maroni, French Guiana		male	Annotation submitted by INRAE (Fish Physiology and Genomics laboratory)	Chromosome	2025-08-07	JAULLC01	364
GCA_028583415.1	ASM2858341v1	Protea cynaroides	273540			Little Prince				Annotation submitted by University of Pretoria	Chromosome	2023-02-10	JAMYWD01	3600
GCF_032854445.1	CUHK_Ljap_v2	Liolophura sinensis	3198878					JHLJ2023		GCF_032854445.1-RS_2025_07	Chromosome	2024-03-01	JAWJEC01	632
GCA_029204225.1	Diphasiastrum complanatum v3.1	Diphasiastrum complanatum	34168			PW_Plant_1				Annotation submitted by DOE Joint Genome Institute	Chromosome	2023-03-21	JAQGDR01	8441
GCA_027704905.1	KU_S4	Muraenolepis orangiensis	630683					KU_S4_2022		Annotation submitted by Korea University	Chromosome	2023-01-13	JANIIK01	7737
GCA_036851935.1	J4Q44_1.1	Coregonus suidteri	861788				Hallwil lake	Cs_M1	male	Annotation submitted by GenoFish	Chromosome	2024-02-26	JAGTTL01	4109
GCA_040183295.1	ASM4018329v1	Rubus argutus	59490			Hillquist		PI 553951		Annotation submitted by North Carolina State University	Chromosome	2024-06-17	JBEDUW01	350
GCA_964442445.1	plit_v1.0	Pycnogonum litorale	261975							Annotation submitted by University of Vienna	Chromosome	2025-08-03	CAYUDV01	10253
GCF_016097555.1	Gae_host_genome	Gigantopelta aegis	1735272					Gae_Host		NCBI Gigantopelta aegis Annotation Release 100	Chromosome	2020-12-17	JAEHGF01	5231
GCA_046195345.1	ASM4619534v1	Riccia sorocarpa	122646				Poland	LP-2024		Annotation submitted by University of Warmia and Mazury in Olsztyn	Chromosome	2024-12-18	JBJQOH01	2898
GCA_964260595.1	arcglaasm	Arctogadus glacialis	185735							Annotation submitted by Earth Biogenome Project Norway	Chromosome	2024-09-06	CAXVOG01	2844
GCF_049309525.1	GarRuf1.0	Garra rufa	137080							GCF_049309525.1-RS_2025_04	Chromosome	2025-04-05	JBLIWC01	1000
GCA_004337985.1	PpBr36	Pyricularia pennisetigena	1578925		Br36					Annotation submitted by Academia Sinica	Chromosome	2019-03-19	RRCL01	108
GCF_004337985.1	PpBr36	Pyricularia pennisetigena	1578925		Br36					Annotation submitted by Academia Sinica	Chromosome	2019-03-19	RRCL01	108
