"","hit_id","query_id","hit_eval","hit_bitscore","hit_description"
"256","XP_001424204.1","Mass_AKT_Aligned",0.0097,22,"uncharacterized protein GSPATT00027838"
"257","XP_001428812.1","Mass_AKT_Aligned",0.01,21.9,"uncharacterized protein GSPATT00031645"
"258","XP_001439704.1","Mass_AKT_Aligned",0.012,21.6,"uncharacterized protein GSPATT00008749"
"259","XP_001423818.1","Mass_AKT_Aligned",0.013,21.5,"uncharacterized protein GSPATT00004514"
"260","XP_001459699.1","Mass_AKT_Aligned",0.024,20.7,"uncharacterized protein GSPATT00025035"
"261","XP_001430706.1","Mass_AKT_Aligned",0.028,20.4,"uncharacterized protein GSPATT00033161"
"262","XP_001446366.1","Mass_AKT_Aligned",0.044,19.8,"uncharacterized protein GSPATT00002011"
"263","XP_001445641.1","Mass_AKT_Aligned",0.052,19.5,"uncharacterized protein GSPATT00013693"
"264","XP_001432872.1","Mass_AKT_Aligned",0.1,18.6,"uncharacterized protein GSPATT00034954"
"265","XP_001452432.1","Mass_AKT_Aligned",0.13,18.2,"uncharacterized protein GSPATT00019217"
"266","XP_001424632.1","Mass_AKT_Aligned",0.14,18.1,"uncharacterized protein GSPATT00028269"
"267","XP_001432918.1","Mass_AKT_Aligned",0.16,18,"uncharacterized protein GSPATT00035001"
"268","XP_001462168.1","Mass_AKT_Aligned",0.16,17.9,"uncharacterized protein GSPATT00027119"
"269","XP_001449156.1","Mass_AKT_Aligned",0.27,17.2,"uncharacterized protein GSPATT00016572"
"270","XP_001423103.1","Mass_AKT_Aligned",0.36,16.7,"uncharacterized protein GSPATT00000140"
"271","XP_001458021.1","Mass_AKT_Aligned",0.62,16,"uncharacterized protein GSPATT00003486"
"272","XP_001426490.1","Mass_AKT_Aligned",0.71,15.8,"uncharacterized protein GSPATT00029723"
"273","XP_001449984.1","Mass_AKT_Aligned",0.75,15.7,"uncharacterized protein GSPATT00016974"
"274","XP_001449537.1","Mass_AKT_Aligned",0.92,15.4,"uncharacterized protein GSPATT00002269"
"275","XP_001456873.1","Mass_AKT_Aligned",0.93,15.4,"uncharacterized protein GSPATT00022648"
"276","XP_001453051.1","Mass_AKT_Aligned",1.1,15.1,"uncharacterized protein GSPATT00019371"
"277","XP_001434809.1","Mass_AKT_Aligned",1.2,15.1,"uncharacterized protein GSPATT00006718"
"278","XP_001460337.1","Mass_AKT_Aligned",1.2,15,"uncharacterized protein GSPATT00025677"
"279","XP_001454462.1","Mass_AKT_Aligned",1.5,14.7,"uncharacterized protein GSPATT00020718"
"280","XP_001430710.1","Mass_AKT_Aligned",1.9,14.3,"uncharacterized protein GSPATT00033165"
"281","XP_001450390.1","Mass_AKT_Aligned",2,14.3,"uncharacterized protein GSPATT00017350"
"282","XP_001444631.1","Mass_AKT_Aligned",2.3,14.1,"uncharacterized protein GSPATT00012742"
"283","XP_001457340.1","Mass_AKT_Aligned",4.8,13,"uncharacterized protein GSPATT00023116"
"284","XP_001021794.2","Mass_AKT_Aligned",3.8e-68,238.7,"Serine/Threonine kinase domain protein"
"285","XP_001027507.2","Mass_AKT_Aligned",8.8e-68,237.5,"Serine/Threonine kinase domain protein"
"286","XP_001031415.4","Mass_AKT_Aligned",6.5e-66,231.3,"Serine/Threonine kinase domain protein"
"287","XP_001031387.2","Mass_AKT_Aligned",2.7e-59,209.3,"Serine/Threonine kinase domain protein"
"288","XP_001016385.2","Mass_AKT_Aligned",9.2e-59,207.5,"Serine/Threonine kinase domain protein"
"289","XP_001026768.2","Mass_AKT_Aligned",6e-58,204.8,"Serine/Threonine kinase domain protein"
"290","XP_977242.2","Mass_AKT_Aligned",1.8e-57,203.2,"Serine/Threonine kinase domain protein"
"291","XP_001024711.2","Mass_AKT_Aligned",1.9e-55,196.5,"Serine/Threonine kinase domain protein"
"292","XP_001032442.2","Mass_AKT_Aligned",3.6e-55,195.6,"Serine/Threonine kinase domain protein"
"293","XP_001031797.2","Mass_AKT_Aligned",1.6e-54,193.5,"Serine/Threonine kinase domain protein"
"294","XP_001022619.2","Mass_AKT_Aligned",1.2e-47,170.6,"Serine/Threonine kinase domain protein"
"295","XP_001011879.2","Mass_AKT_Aligned",3.3e-47,169.1,"Serine/Threonine kinase domain protein"
"296","XP_001032147.2","Mass_AKT_Aligned",3.7e-47,169,"Serine/Threonine kinase domain protein"
"297","XP_001030934.2","Mass_AKT_Aligned",3.7e-47,169,"Serine/Threonine kinase domain protein"
"298","XP_001018806.2","Mass_AKT_Aligned",1.7e-45,163.5,"Serine/Threonine kinase domain protein"
"299","XP_001023881.2","Mass_AKT_Aligned",3.4e-45,162.4,"Serine/Threonine kinase domain protein"
"300","XP_001031819.1","Mass_AKT_Aligned",4.2e-45,162.1,"Serine/Threonine kinase domain protein"
"301","XP_001018324.1","Mass_AKT_Aligned",3.3e-43,155.8,"Serine/Threonine kinase domain protein"
"302","XP_001015245.2","Mass_AKT_Aligned",6.9e-43,154.8,"Serine/Threonine kinase domain protein"
"303","XP_001017463.2","Mass_AKT_Aligned",3.2e-40,145.9,"Serine/Threonine kinase domain protein"
"304","XP_001028087.1","Mass_AKT_Aligned",5.6e-40,145.1,"Serine/Threonine kinase domain protein"
"305","XP_001033178.2","Mass_AKT_Aligned",2.2e-38,139.8,"Serine/Threonine kinase domain protein"
"306","XP_001021623.2","Mass_AKT_Aligned",3e-31,116.1,"Serine/Threonine kinase domain protein"
"307","XP_001031601.2","Mass_AKT_Aligned",6.6e-31,115,"Serine/Threonine kinase domain protein"
"308","XP_001007481.2","Mass_AKT_Aligned",9.9e-31,114.4,"Serine/Threonine kinase domain protein"
"309","XP_001024089.3","Mass_AKT_Aligned",1.3e-29,110.7,"Serine/Threonine kinase domain protein"
"310","XP_001032905.2","Mass_AKT_Aligned",2.6e-29,109.7,"Serine/Threonine kinase domain protein"
"311","XP_001011940.1","Mass_AKT_Aligned",3.6e-29,109.2,"Serine/Threonine kinase domain protein"
"312","XP_001027166.1","Mass_AKT_Aligned",4.3e-29,109,"Serine/Threonine kinase domain protein"
"313","XP_001032568.2","Mass_AKT_Aligned",2.3e-28,106.6,"Serine/Threonine kinase domain protein"
"314","XP_001033299.2","Mass_AKT_Aligned",2.6e-26,99.7,"Serine/Threonine kinase domain protein"
"315","XP_001024149.3","Mass_AKT_Aligned",7.7e-26,98.2,"Serine/Threonine kinase domain protein"
"316","XP_001019658.2","Mass_AKT_Aligned",8.2e-26,98.1,"Serine/Threonine kinase domain protein"
"317","XP_001026019.1","Mass_AKT_Aligned",3e-25,96.2,"Serine/Threonine kinase domain protein"
"318","XP_001008382.2","Mass_AKT_Aligned",2.5e-24,93.1,"Serine/Threonine kinase domain protein"
"319","XP_001012943.2","Mass_AKT_Aligned",2.1e-23,90,"Serine/Threonine kinase domain protein"
"320","XP_001024208.1","Mass_AKT_Aligned",1.9e-22,86.9,"Serine/Threonine kinase domain protein"
"321","XP_001017123.2","Mass_AKT_Aligned",6.3e-22,85.2,"CGMP-dependent kinase 9-1 [Tetrahymena"
"322","XP_001020007.2","Mass_AKT_Aligned",2.1e-21,83.4,"Serine/Threonine kinase domain protein"
"323","XP_001011355.2","Mass_AKT_Aligned",3e-21,82.9,"Serine/Threonine kinase domain protein"
"324","XP_001025559.2","Mass_AKT_Aligned",2e-20,80.1,"CAMP-dependent kinase catalytic subuni"
"325","XP_001029787.2","Mass_AKT_Aligned",1.3e-19,77.4,"Serine/Threonine kinase domain protein"
"326","XP_001021692.2","Mass_AKT_Aligned",3.9e-19,75.9,"Serine/Threonine kinase domain protein"
"327","XP_001013155.2","Mass_AKT_Aligned",7.8e-19,74.9,"Serine/Threonine kinase domain protein"
"328","XP_001023361.2","Mass_AKT_Aligned",1.2e-14,60.9,"Serine/Threonine kinase domain protein"
"329","XP_001023073.3","Mass_AKT_Aligned",1.6e-14,60.6,"CGMP-dependent kinase 5-1 [Tetrahymena"
"330","XP_001022255.1","Mass_AKT_Aligned",1.6e-14,60.5,"Serine/Threonine kinase domain protein"
"331","XP_001018695.2","Mass_AKT_Aligned",3.3e-14,59.5,"Serine/Threonine kinase domain protein"
"332","XP_001012302.2","Mass_AKT_Aligned",6e-14,58.6,"CGMP-dependent kinase 9-1 [Tetrahymena"
"333","XP_001023012.1","Mass_AKT_Aligned",6.3e-14,58.6,"Serine/Threonine kinase domain protein"
"334","XP_001013141.2","Mass_AKT_Aligned",9.5e-10,44.7,"Serine/Threonine kinase domain protein"
"335","XP_977055.3","Mass_AKT_Aligned",1.1e-09,44.5,"Serine/Threonine kinase domain protein"
"336","XP_001018185.1","Mass_AKT_Aligned",2.6e-09,43.2,"Serine/Threonine kinase domain protein"
"337","XP_001014648.2","Mass_AKT_Aligned",2.5e-08,40,"CGMP-dependent kinase 5-1 [Tetrahymena"
"338","XP_001031842.1","Mass_AKT_Aligned",7.7e-08,38.4,"CGMP-dependent kinase 5-1 [Tetrahymena"
"339","XP_001025156.2","Mass_AKT_Aligned",7.7e-07,35,"Serine/Threonine kinase domain protein"
"340","XP_012651089.1","Mass_AKT_Aligned",1.5e-06,34,"CGMP-dependent kinase 5-1 [Tetrahymena"
"341","XP_001032227.2","Mass_AKT_Aligned",5.8e-06,32.1,"Serine/Threonine kinase domain protein"
"342","XP_001016569.3","Mass_AKT_Aligned",1.2e-05,31.1,"phosphoinositide-dependent kinase [Tet"
"343","XP_001033190.2","Mass_AKT_Aligned",8e-05,28.3,"CGMP-dependent kinase 5-1 [Tetrahymena"
"344","XP_001031997.2","Mass_AKT_Aligned",0.00035,26.2,"Serine/Threonine kinase domain protein"
"345","XP_001015574.2","Mass_AKT_Aligned",0.0014,24.2,"Serine/Threonine kinase domain protein"
"346","XP_001028159.2","Mass_AKT_Aligned",0.0041,22.6,"Serine/Threonine kinase domain protein"
"347","XP_001033361.3","Mass_AKT_Aligned",0.026,20,"Serine/Threonine kinase domain protein"
"348","XP_001022919.3","Mass_AKT_Aligned",0.095,18.1,"calcium-dependent kinase [Tetrahymena"
"349","XP_001024087.2","Mass_AKT_Aligned",0.095,18.1,"CAMP-dependent kinase catalytic subuni"
"350","XP_001024422.2","Mass_AKT_Aligned",0.31,16.4,"Serine/Threonine kinase domain protein"
"351","XP_042926799.1","Mass_AKT_Aligned",1.1e-32,120.5,"uncharacterized protein CHLRE_02g07690"
"352","XP_042917497.1","Mass_AKT_Aligned",6.9e-30,111.1,"uncharacterized protein CHLRE_13g57920"
"353","XP_042926603.1","Mass_AKT_Aligned",2e-24,93,"uncharacterized protein CHLRE_03g19905"
"354","XP_042928534.1","Mass_AKT_Aligned",5.6e-22,84.8,"uncharacterized protein CHLRE_01g02985"
"355","XP_001697887.2","Mass_AKT_Aligned",1.7e-17,69.9,"uncharacterized protein CHLRE_16g66320"
"356","XP_001699230.2","Mass_AKT_Aligned",3.7e-15,62.2,"uncharacterized protein CHLRE_16g66980"
"357","XP_042924431.1","Mass_AKT_Aligned",1.1e-13,57.3,"uncharacterized protein CHLRE_06g30695"
"358","XP_042917954.1","Mass_AKT_Aligned",5.5e-09,41.7,"uncharacterized protein CHLRE_12g49325"
"359","XP_042926604.1","Mass_AKT_Aligned",0.42,15.5,"uncharacterized protein CHLRE_03g19900"
"360","XP_002500126.1","Mass_AKT_Aligned",5.4e-53,186.9,"hypothetical protein MICPUN_56023 [Mic"
"361","XP_002506490.1","Mass_AKT_Aligned",6.5e-28,103.6,"cgmp-dependent protein kinase [Micromo"
"362","XP_002506253.1","Mass_AKT_Aligned",2.5e-16,65.2,"predicted protein [Micromonas commoda]"
"363","XP_002503237.1","Mass_AKT_Aligned",3e-10,45,"predicted protein [Micromonas commoda]"
"364","XP_817377.1","Mass_AKT_Aligned",6.7e-71,247.4,"rac serine-threonine kinase, putative"
"365","XP_815140.1","Mass_AKT_Aligned",2e-70,245.8,"rac serine-threonine kinase, putative"
"366","XP_809943.1","Mass_AKT_Aligned",4.4e-54,191.5,"rac serine-threonine kinase, putative"
"367","XP_819033.1","Mass_AKT_Aligned",2.6e-34,125.8,"protein kinase, putative [Trypanosoma"
"368","XP_820852.1","Mass_AKT_Aligned",3.5e-31,115.4,"serine/threonine protein kinase, putat"
"369","XP_821623.1","Mass_AKT_Aligned",8.5e-24,90.9,"protein kinase A catalytic subunit iso"
"370","XP_809454.1","Mass_AKT_Aligned",5.9e-22,84.8,"protein kinase A catalytic subunit, pu"
"371","XP_821620.1","Mass_AKT_Aligned",8e-04,24.5,"protein kinase A catalytic subunit iso"
"372","XP_003862279.1","Mass_AKT_Aligned",2.1e-30,111.6,"zinc finger protein kinase-like [Leish"
"373","XP_003862798.1","Mass_AKT_Aligned",4.6e-29,107.1,"rac serine-threonine kinase, putative"
"374","XP_003860122.1","Mass_AKT_Aligned",1.5e-19,75.5,"protein kinase A catalytic subunit [Le"
"375","XP_003861575.1","Mass_AKT_Aligned",1.5e-10,45.6,"serine/threonine-protein kinase, putat"
"376","XP_044556707.1","Mass_AKT_Aligned",8.9e-96,329.5,"uncharacterized protein FDP41_009688 ["
"377","XP_044556756.1","Mass_AKT_Aligned",2.7e-87,301.3,"uncharacterized protein FDP41_009737 ["
"378","XP_044567202.1","Mass_AKT_Aligned",9.4e-62,216.5,"uncharacterized protein FDP41_011419 ["
"379","XP_044563312.1","Mass_AKT_Aligned",2.2e-49,175.4,"uncharacterized protein FDP41_002419 ["
"380","XP_044561932.1","Mass_AKT_Aligned",5.3e-35,127.6,"uncharacterized protein FDP41_003872 ["
"381","XP_044561606.1","Mass_AKT_Aligned",6.7e-32,117.3,"uncharacterized protein FDP41_004188 ["
"382","XP_044566821.1","Mass_AKT_Aligned",1.1e-09,43.6,"uncharacterized protein FDP41_011969 ["
"383","XP_044563948.1","Mass_AKT_Aligned",6.1e-06,31.1,"uncharacterized protein FDP41_001578 ["
"384","XP_044569769.1","Mass_AKT_Aligned",1.2e-05,30.1,"uncharacterized protein FDP41_000095 ["
"385","XP_001707242.1","Mass_AKT_Aligned",3e-33,120.3,"Kinase, AGC Akt [Giardia intestinalis]"
"386","XP_001704119.1","Mass_AKT_Aligned",6.5e-17,66.1,"Kinase, AGC PKA [Giardia intestinalis]"
"387","XP_067766695.1","Mass_AKT_Aligned",2.5e-27,101.5,"Kinase, AGC Akt [Spironucleus salmonic"
"388","XP_067763007.1","Mass_AKT_Aligned",6.2e-05,27.1,"Kinase, AGC [Spironucleus salmonicida]"
"389","XP_001329056.1","Mass_AKT_Aligned",6.8e-94,325.6,"ribosomal protein S6 kinase family [Tr"
"390","XP_001579736.1","Mass_AKT_Aligned",6.3e-82,285.9,"ribosomal protein S6 kinase family [Tr"
"391","XP_001310870.1","Mass_AKT_Aligned",5.2e-78,272.9,"ribosomal protein S6 kinase family [Tr"
"392","XP_001325115.1","Mass_AKT_Aligned",1.9e-75,264.4,"STKc AGC domain-containing protein [Tr"
"393","XP_001308557.1","Mass_AKT_Aligned",3.5e-75,263.5,"STKc AGC domain-containing protein [Tr"
"394","XP_001306996.1","Mass_AKT_Aligned",3.7e-74,260.1,"glycogen cell differentiation involved"
"395","XP_001313212.1","Mass_AKT_Aligned",1.5e-61,218.2,"glycogen cell differentiation involved"
"396","XP_001321016.1","Mass_AKT_Aligned",7.2e-52,186,"STKc AGC domain-containing protein [Tr"
"397","XP_001316333.1","Mass_AKT_Aligned",7.6e-52,186,"STKc AGC domain-containing protein [Tr"
"398","XP_001301129.1","Mass_AKT_Aligned",2e-45,164.6,"protein serine/threonine kinase protei"
"399","XP_001327610.1","Mass_AKT_Aligned",1.2e-44,162,"STKc AGC domain-containing protein [Tr"
"400","XP_001579836.1","Mass_AKT_Aligned",2.2e-42,154.5,"STKc AGC domain-containing protein [Tr"
"401","XP_001579099.1","Mass_AKT_Aligned",2.2e-42,154.5,"protein serine/threonine kinase protei"
"402","XP_001319861.1","Mass_AKT_Aligned",2e-41,151.4,"protein serine/threonine kinase protei"
"403","XP_001310013.1","Mass_AKT_Aligned",3e-40,147.4,"protein serine/threonine kinase protei"
"404","XP_001314983.1","Mass_AKT_Aligned",5.7e-40,146.5,"protein serine/threonine kinase protei"
"405","XP_001321160.1","Mass_AKT_Aligned",3e-39,144.1,"protein serine/threonine kinase protei"
"406","XP_001583654.1","Mass_AKT_Aligned",5.9e-38,139.8,"STKc AGC domain-containing protein [Tr"
"407","XP_001325461.1","Mass_AKT_Aligned",9.2e-38,139.2,"protein serine/threonine kinase protei"
"408","XP_001321801.1","Mass_AKT_Aligned",2.8e-37,137.6,"protein serine/threonine kinase protei"
"409","XP_001584133.1","Mass_AKT_Aligned",5.5e-37,136.6,"STKc AGC domain-containing protein [Tr"
"410","XP_051089107.1","Mass_AKT_Aligned",1.4e-36,135.2,"protein serine/threonine kinase protei"
"411","XP_001308206.1","Mass_AKT_Aligned",1.8e-36,134.9,"protein serine/threonine kinase protei"
"412","XP_001324743.1","Mass_AKT_Aligned",4.6e-35,130.2,"protein serine/threonine kinase protei"
"413","XP_001318707.1","Mass_AKT_Aligned",7.7e-34,126.1,"protein kinase C protein [Trichomonas"
"414","XP_001301666.1","Mass_AKT_Aligned",1.6e-33,125.1,"protein serine/threonine kinase protei"
"415","XP_001327706.1","Mass_AKT_Aligned",3e-33,124.2,"STKc AGC domain-containing protein [Tr"
"416","XP_001324272.1","Mass_AKT_Aligned",3.9e-33,123.8,"protein serine/threonine kinase protei"
"417","XP_001321214.1","Mass_AKT_Aligned",9.2e-33,122.6,"glycogen cell differentiation involved"
"418","XP_001307559.1","Mass_AKT_Aligned",1.3e-32,122,"protein serine/threonine kinase protei"
"419","XP_001306832.1","Mass_AKT_Aligned",2.1e-32,121.3,"protein serine/threonine kinase protei"
"420","XP_001315230.1","Mass_AKT_Aligned",3e-31,117.5,"protein serine/threonine kinase protei"
"421","XP_001302155.1","Mass_AKT_Aligned",1.6e-30,115.1,"protein serine/threonine kinase protei"
"422","XP_001314210.1","Mass_AKT_Aligned",7e-29,109.7,"protein serine/threonine kinase protei"
"423","XP_001322995.1","Mass_AKT_Aligned",1.3e-28,108.8,"protein serine/threonine kinase protei"
"424","XP_001301207.1","Mass_AKT_Aligned",6.3e-26,99.9,"protein serine/threonine kinase protei"
"425","XP_001306155.1","Mass_AKT_Aligned",4.5e-25,97,"protein serine/threonine kinase protei"
"426","XP_001316350.1","Mass_AKT_Aligned",5e-25,96.9,"protein serine/threonine kinase protei"
"427","XP_001323146.1","Mass_AKT_Aligned",1.7e-24,95.1,"protein serine/threonine kinase protei"
"428","XP_001323345.1","Mass_AKT_Aligned",3.3e-23,90.8,"STKc MAST like domain-containing prote"
"429","XP_001583331.1","Mass_AKT_Aligned",2.3e-21,84.7,"protein serine/threonine kinase protei"
"430","XP_001327902.2","Mass_AKT_Aligned",5e-20,80.3,"peptidyl-serine phosphorylation [Trich"
"431","XP_001314667.1","Mass_AKT_Aligned",3.1e-18,74.3,"STKc MAST like domain-containing prote"
"432","XP_001302695.1","Mass_AKT_Aligned",3.7e-18,74,"protein serine/threonine kinase protei"
"433","XP_001313044.1","Mass_AKT_Aligned",3.8e-18,74,"STKc MAST like domain-containing prote"
"434","XP_001306386.1","Mass_AKT_Aligned",8.2e-17,69.6,"STKc MAST like domain-containing prote"
"435","XP_001302862.1","Mass_AKT_Aligned",1.1e-16,69.1,"protein serine/threonine kinase protei"
"436","XP_001580304.1","Mass_AKT_Aligned",1.8e-16,68.4,"protein serine/threonine kinase protei"
"437","XP_001310602.1","Mass_AKT_Aligned",7.4e-16,66.4,"STKc MAST like domain-containing prote"
"438","XP_001330025.1","Mass_AKT_Aligned",2e-15,64.9,"STKc MAST like domain-containing prote"
"439","XP_001293786.2","Mass_AKT_Aligned",2.1e-13,58.3,"peptidyl-serine phosphorylation [Trich"
"440","XP_001308841.2","Mass_AKT_Aligned",3.4e-13,57.6,"peptidyl-serine phosphorylation [Trich"
"441","XP_001311729.1","Mass_AKT_Aligned",7.3e-13,56.5,"STKc MAST like domain-containing prote"
"442","XP_001302949.1","Mass_AKT_Aligned",1.5e-12,55.4,"protein serine/threonine kinase protei"
"443","XP_001297291.1","Mass_AKT_Aligned",2.1e-11,51.6,"STKc MAST like domain-containing prote"
"444","XP_001314461.1","Mass_AKT_Aligned",1.4e-09,45.6,"STKc MAST like domain-containing prote"
"445","XP_001303078.1","Mass_AKT_Aligned",1.8e-08,41.9,"protein kinase C protein [Trichomonas"
"446","XP_001320042.1","Mass_AKT_Aligned",8.3e-06,33,"STKc MAST like domain-containing prote"
"447","XP_001583592.1","Mass_AKT_Aligned",1e-04,29.4,"STKc ROCK NDR like domain-containing p"
"448","XP_001298294.1","Mass_AKT_Aligned",0.00045,27.3,"protein serine/threonine kinase protei"
"449","NP_001287353.1","Mass_AKT_Aligned",8.5e-231,779.2,"Akt kinase, isoform D [Drosophila mela"
"450","NP_001287354.1","Mass_AKT_Aligned",8.5e-231,779.2,"Akt kinase, isoform E [Drosophila mela"
"451","NP_732113.3","Mass_AKT_Aligned",8.5e-231,779.2,"Akt kinase, isoform C [Drosophila mela"
"452","NP_732114.1","Mass_AKT_Aligned",8.5e-231,779.2,"Akt kinase, isoform A [Drosophila mela"
"453","NP_732115.1","Mass_AKT_Aligned",8.5e-231,779.2,"Akt kinase, isoform B [Drosophila mela"
"454","NP_001188895.1","Mass_AKT_Aligned",2.7e-90,312.5,"protein kinase N, isoform J [Drosophil"
"455","NP_001188896.1","Mass_AKT_Aligned",2.7e-90,312.5,"protein kinase N, isoform K [Drosophil"
"456","NP_001188897.3","Mass_AKT_Aligned",2.7e-90,312.5,"protein kinase N, isoform S [Drosophil"
"457","NP_001246221.1","Mass_AKT_Aligned",2.7e-90,312.5,"protein kinase N, isoform L [Drosophil"
"458","NP_001246220.1","Mass_AKT_Aligned",2.7e-90,312.5,"protein kinase N, isoform M [Drosophil"
"459","NP_001286241.1","Mass_AKT_Aligned",2.7e-90,312.5,"protein kinase N, isoform N [Drosophil"
"460","NP_788294.1","Mass_AKT_Aligned",2.7e-90,312.5,"protein kinase N, isoform E [Drosophil"
"461","NP_001163095.1","Mass_AKT_Aligned",3.6e-89,308.7,"protein kinase N, isoform H [Drosophil"
"462","NP_788290.1","Mass_AKT_Aligned",3.6e-89,308.7,"protein kinase N, isoform B [Drosophil"
"463","NP_788292.1","Mass_AKT_Aligned",3.6e-89,308.7,"protein kinase N, isoform F [Drosophil"
"464","NP_001097237.1","Mass_AKT_Aligned",5e-89,308.2,"protein kinase N, isoform G [Drosophil"
"465","NP_001286243.1","Mass_AKT_Aligned",5e-89,308.2,"protein kinase N, isoform P [Drosophil"
"466","NP_001286244.1","Mass_AKT_Aligned",5e-89,308.2,"protein kinase N, isoform Q [Drosophil"
"467","NP_788291.1","Mass_AKT_Aligned",5e-89,308.2,"protein kinase N, isoform C [Drosophil"
"468","NP_788293.2","Mass_AKT_Aligned",5e-89,308.2,"protein kinase N, isoform D [Drosophil"
"469","NP_001286242.1","Mass_AKT_Aligned",2.7e-88,305.8,"protein kinase N, isoform O [Drosophil"
"470","NP_001163767.1","Mass_AKT_Aligned",2.4e-86,299.4,"protein C kinase 98E, isoform B [Droso"
"471","NP_001287576.1","Mass_AKT_Aligned",2.4e-86,299.4,"protein C kinase 98E, isoform C [Droso"
"472","NP_001287577.1","Mass_AKT_Aligned",2.4e-86,299.4,"protein C kinase 98E, isoform D [Droso"
"473","NP_524545.2","Mass_AKT_Aligned",2.4e-86,299.4,"protein C kinase 98E, isoform A [Droso"
"474","NP_001097350.1","Mass_AKT_Aligned",1e-81,283.9,"protein C kinase 53E, isoform C [Droso"
"475","NP_001246377.1","Mass_AKT_Aligned",1e-81,283.9,"protein C kinase 53E, isoform D [Droso"
"476","NP_001246378.1","Mass_AKT_Aligned",1e-81,283.9,"protein C kinase 53E, isoform E [Droso"
"477","NP_001261035.1","Mass_AKT_Aligned",1e-81,283.9,"protein C kinase 53E, isoform F [Droso"
"478","NP_476682.1","Mass_AKT_Aligned",1e-81,283.9,"protein C kinase 53E, isoform A [Droso"
"479","NP_725626.1","Mass_AKT_Aligned",1e-81,283.9,"protein C kinase 53E, isoform B [Droso"
"480","NP_001138191.1","Mass_AKT_Aligned",1.7e-79,276.6,"protein kinase C delta, isoform D [Dro"
"481","NP_511171.3","Mass_AKT_Aligned",1.7e-79,276.6,"protein kinase C delta, isoform C [Dro"
"482","NP_001260985.1","Mass_AKT_Aligned",2.1e-79,276.3,"atypical protein kinase C, isoform K ["
"483","NP_001188939.1","Mass_AKT_Aligned",9.7e-79,274.1,"atypical protein kinase C, isoform G ["
"484","NP_001260984.1","Mass_AKT_Aligned",9.7e-79,274.1,"atypical protein kinase C, isoform J ["
"485","NP_001036543.1","Mass_AKT_Aligned",1.1e-78,273.8,"atypical protein kinase C, isoform E ["
"486","NP_001036541.1","Mass_AKT_Aligned",6.8e-78,271.3,"atypical protein kinase C, isoform C ["
"487","NP_524892.2","Mass_AKT_Aligned",6.8e-78,271.3,"atypical protein kinase C, isoform A ["
"488","NP_001036542.1","Mass_AKT_Aligned",1.2e-77,270.4,"atypical protein kinase C, isoform F ["
"489","NP_001260987.1","Mass_AKT_Aligned",1.2e-77,270.4,"atypical protein kinase C, isoform M ["
"490","NP_001260986.1","Mass_AKT_Aligned",1.2e-77,270.4,"atypical protein kinase C, isoform L ["
"491","NP_572797.3","Mass_AKT_Aligned",2.9e-77,269.2,"protein kinase C delta, isoform E [Dro"
"492","NP_001036544.1","Mass_AKT_Aligned",5.1e-71,248.4,"atypical protein kinase C, isoform B ["
"493","NP_001036545.1","Mass_AKT_Aligned",3e-70,245.9,"atypical protein kinase C, isoform D ["
"494","NP_001188941.1","Mass_AKT_Aligned",7.9e-67,234.5,"atypical protein kinase C, isoform I ["
"495","NP_476863.1","Mass_AKT_Aligned",4.5e-62,218.7,"inactivation no afterpotential C [Dros"
"496","NP_001261450.1","Mass_AKT_Aligned",8.4e-59,207.8,"ribosomal protein S6 kinase, isoform B"
"497","NP_523941.2","Mass_AKT_Aligned",8.4e-59,207.8,"ribosomal protein S6 kinase, isoform A"
"498","NP_524097.2","Mass_AKT_Aligned",1.2e-57,203.9,"protein kinase, cAMP-dependent, cataly"
"499","NP_730083.2","Mass_AKT_Aligned",1.2e-57,203.9,"protein kinase, cAMP-dependent, cataly"
"500","NP_001259779.1","Mass_AKT_Aligned",4e-57,202.3,"ribosomal protein S6 kinase II, isofor"
"501","NP_523437.2","Mass_AKT_Aligned",4e-57,202.3,"ribosomal protein S6 kinase II, isofor"
"502","NP_001261697.1","Mass_AKT_Aligned",8e-45,161.4,"JIL-1 kinase, isoform C [Drosophila me"
"503","NP_648432.1","Mass_AKT_Aligned",8e-45,161.4,"JIL-1 kinase, isoform B [Drosophila me"
"504","NP_729661.1","Mass_AKT_Aligned",8e-45,161.4,"JIL-1 kinase, isoform A [Drosophila me"
"505","NP_001261884.1","Mass_AKT_Aligned",3.8e-34,125.9,"drop out, isoform B [Drosophila melano"
"506","NP_648778.1","Mass_AKT_Aligned",3.8e-34,125.9,"drop out, isoform A [Drosophila melano"
"507","NP_001036438.1","Mass_AKT_Aligned",3.2e-29,109.6,"G protein-coupled receptor kinase 1, i"
"508","NP_001163051.1","Mass_AKT_Aligned",3.2e-29,109.6,"G protein-coupled receptor kinase 1, i"
"509","NP_001286135.1","Mass_AKT_Aligned",3.2e-29,109.6,"G protein-coupled receptor kinase 1, i"
"510","NP_476977.1","Mass_AKT_Aligned",4.6e-25,95.8,"protein kinase, cAMP-dependent, cataly"
"511","NP_723479.1","Mass_AKT_Aligned",4.6e-25,95.8,"protein kinase, cAMP-dependent, cataly"
"512","NP_995672.1","Mass_AKT_Aligned",4.6e-25,95.8,"protein kinase, cAMP-dependent, cataly"
"513","NP_001014464.1","Mass_AKT_Aligned",4.9e-25,95.7,"foraging, isoform J [Drosophila melano"
